"agricultural regions","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken"
"agricultural regions","english","french","other","english","french","other","distribution of the official language minority","total"
"agricultural regions","number","number","number","percent","percent","percent","percent","total"
"newfoundland and labrador","","","","","","","",""
"agricultural region 1","21,135","70","0","99.7","0.3","0.0","77.8","21,200"
"agricultural region 2","10,165","0","30","99.6","0.0","0.3","0.0","10,205"
"agricultural region 3","6,975","20","0","99.6","0.3","0.0","22.2","7,000"
"prince edward island","","","","","","","",""
"agricultural region 1","1,880","0","0","99.5","0.0","0.0","0.0","1,890"
"agricultural region 2","5,565","50","30","98.7","0.9","0.5","20.4","5,640"
"agricultural region 3","4,530","195","0","95.9","4.1","0.0","79.6","4,725"
"nova scotia","","","","","","","",""
"agricultural region 1","7,865","1,120","0","87.6","12.5","0.0","52.5","8,980"
"agricultural region 2","7,935","85","0","98.9","1.1","0.0","4.0","8,020"
"agricultural region 3","30,415","410","65","98.4","1.3","0.2","19.2","30,895"
"agricultural region 4","5,640","55","0","99.0","1.0","0.0","2.6","5,695"
"agricultural region 5","8,140","465","0","94.6","5.4","0.0","21.8","8,605"
"new brunswick","","","","","","","",""
"agricultural region 1","8,455","3,350","0","71.5","28.3","0.0","19.4","11,825"
"agricultural region 2","12,845","235","25","98.0","1.8","0.2","1.4","13,105"
"agricultural region 3","9,225","6,505","0","58.6","41.3","0.0","37.7","15,750"
"agricultural region 4","3,975","7,145","0","35.7","64.2","0.0","41.5","11,125"
