"type of product and country","1995 to 2000","1995 to 2000","2000 to 2007","2000 to 2007"
"type of product and country","emfp growth","relative contribution","emfp growth","relative contribution"
"","percentage points","percent","percentage points","percent"
"total, final demand product","0.86","100","0.23","100"
"canada","0.65","75","0.08","33"
"united states","0.19","22","0.12","50"
"other foreign countries","0.03","3","0.04","17"
"total, consumption products","0.53","100","0.20","100"
"canada","0.39","74","0.09","45"
"united states","0.12","23","0.09","45"
"other foreign countries","0.02","4","0.02","10"
"total, investment products","1.94","100","0.33","100"
"canada","1.47","76","0.05","15"
"united states","0.41","21","0.22","65"
"other foreign countries","0.06","3","0.07","21"
"total, export products","1.68","100","-0.16","100"
"canada","1.31","78","-0.42","247"
"united states","0.33","20","0.20","-118"
"other foreign countries","0.04","2","0.05","-29"
