"club","season","league","league","league","scottish cup","scottish cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"st mirren","2007-08","scottish premier league","0","0","0","0","0","0","-","-","0","0"
"st mirren","2008-09","scottish premier league","2","0","1","0","0","0","-","-","3","0"
"st mirren","2009-10","scottish premier league","0","0","0","0","0","0","-","-","0","0"
"st mirren","total","total","2","0","1","0","0","0","-","-","3","0"
"airdrie united","2010-11","scottish second division","3","0","0","0","0","0","1","0","4","0"
"queen's park","2010-11","scottish third division","1","0","-","-","2","0","3","0","none","none"
"queen's park","2011-12","scottish third division","26","3","3","1","1","0","2","0","32","4"
"queen's park","2012-13","scottish third division","27","5","2","0","3","1","3","1","35","6"
"queen's park","2013-14","scottish league two","28","1","3","0","1","0","1","0","33","1"
"queen's park","2014-15","scottish league two","32","4","2","1","1","0","4","0","39","5"
"queen's park","2015-16","scottish league two","32","3","3","0","1","0","8","1","44","4"
"queen's park","2016-17","scottish league one","30","0","3","0","4","2","2","0","39","2"
"queen's park","2017-18","scottish league one","34","3","0","0","3","0","3","0","40","3"
"queen's park","total","total","210","19","16","2","14","3","25","2","265","26"
"brechin city","2018-19","scottish league one","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","215","19","17","2","14","3","25","2","268","26"
