"party","proportional seats","proportional seats","proportional seats","district seats","district seats","district seats","total seats"
"party","votes","%","seats","votes","%","seats","total seats"
"change & reform","440,409","44.45","29","1,932,168","40.82","45","74"
"fatah","410,554","41.43","28","1,684,441","35.58","17","45"
"martyr abu ali mustafa","42,101","4.25","3","140,074","2.96","0","3"
"the alternative","28,973","2.92","2","8,216","0.17","0","2"
"independent palestine","26,909","2.72","2","-","-","-","2"
"third way","23,862","2.41","2","-","-","-","2"
"palestinian popular struggle front","7,127","0.72","0","8,821","0.19","0","0"
"palestinian arab front","4,398","0.44","0","3,446","0.07","0","0"
"martyr abu al-abbas","3,011","0.30","0","-","-","-","0"
"national coalition for justice and democracy","1,806","0.18","0","-","-","-","0"
"palestinian justice","1,723","0.17","0","-","-","-","0"
"palestinian democratic union","-","-","-","3,257","0.07","0","0"
"independents","-","-","-","953,465","20.14","4","4"
"invalid/blank votes","29,864","-","-","-","-","-","-"
"total","1,020,737","100","66","4,733,888","100","66","132"
"registered voters/turnout","1,341,671","76.07","-","-","-","-","-"
"sources: ifes, cec","sources: ifes, cec","sources: ifes, cec","sources: ifes, cec","sources: ifes, cec","sources: ifes, cec","sources: ifes, cec","sources: ifes, cec"
