"","non-mortgage payment skipped or delayed in the past year","mortgage payment skipped or delayed in the past year"
"","predicted probability","predicted probability"
"debt-to-asset ratio category","",""
"up to 0.25","0.048","0.013"
"above 0.25 and up to 0.50","0.068","0.027"
"above 0.50","0.098","0.056"
"age group of main income earner","",""
"15 to 34 years","0.071","0.015"
"35 to 44 years","0.065","0.027"
"45 to 54 years","0.094","0.035"
"55 to 64 years","0.074","0.057"
"over 64 years","0.034","0.029"
"family type","",""
"unattached","0.067","0.030"
"couple with no children","0.054","0.019"
"couple with children","0.072","0.030"
"lone parent","0.091","0.077"
""other" family types","0.085","0.029"
"education of main income earner","",""
"less than high school","0.083","0.044"
"high school","0.077","0.031"
"some postsecondary","0.087","0.034"
"university diploma or degree","0.042","0.021"
"income group","",""
"first quintile","0.097","0.062"
"second quintile","0.095","0.031"
"third quintile","0.057","0.028"
"fourth quintile","0.054","0.032"
"fifth quintile","0.020","0.012"
"region","",""
"atlantic","0.049","0.037"
"quebec","0.075","0.027"
"ontario","0.062","0.022"
"prairies","0.091","0.049"
"british columbia","0.071","0.031"
"sex of main income earner","",""
"male","0.071","0.030"
"female","0.070","0.030"
"home ownership status","",""
"own without mortgage","0.048",".."
"own with mortgage","0.051",".."
"do not own","0.099",".."
