"jurisdiction","custody","custody","community","community","total correctional supervision","total correctional supervision"
"jurisdiction","female","aboriginal","female","aboriginal","female","aboriginal"
"jurisdiction","percent","percent","percent","percent","percent","percent"
"newfoundland and labrador","12","26","24","25","18","25"
"prince edward island","16","6","22","6","20","6"
"nova scotia","13","10","24","6","18","8"
"new brunswick","13","11","22","10","16","10"
"quebec","11","5","17","6","13","6"
"ontario","13","13","19","11","15","12"
"manitoba","19","73","26","57","21","68"
"saskatchewan","16","76","23","73","19","75"
"british columbia","11","31","19","27","15","29"
"yukon","12","70","20","58","17","62"
"northwest territories","5","86","17","86","9","86"
"nunavut","4","100","17","100","9","100"
"provincial and territorial-total","13","27","20","24","16","26"
"federal","7","28","7","26","7","27"
