"","1999","2012","1999","2012"
"","median debt-to-income ratio","median debt-to-income ratio","median debt-to-asset ratio","median debt-to-asset ratio"
"all","0.78","1.10","0.27","0.25"
"age of major income earner","","","",""
"15 to 34","0.83","1.28","0.52","0.53"
"35 to 44","1.15","1.93","0.31","0.39"
"45 to 54","0.75","1.16","0.18","0.20"
"55 to 64","0.48","0.84","0.08","0.11"
"65 and over","0.24","0.42","0.05","0.05"
"education of major income earner","","","",""
"less than high school","0.44","0.50","0.22","0.20"
"high school","0.83","0.94","0.29","0.26"
"college/trades","0.93","1.26","0.30","0.28"
"university degree","0.96","1.43","0.24","0.23"
"family structure","","","",""
"non-seniors","","","",""
"singles","0.55","0.82","0.40","0.40"
"couples without children or with children 18 and over","0.79","1.20","0.20","0.19"
"couples with children under 18","1.24","1.94","0.33","0.34"
"lone parents","0.62","0.62","0.42","0.37"
"others","0.48","0.65","0.17","0.21"
"seniors","0.24","0.42","0.05","0.05"
"immigrant status of major income earner","","","",""
"immigrated within the last 10 years","0.89","1.66","0.52","0.45"
"more than 10 years since immigration","0.88","1.37","0.25","0.26"
"canadian-born","0.76","1.03","0.26","0.24"
"region","","","",""
"atlantic","0.56","0.87","0.20","0.22"
"quebec","0.66","0.75","0.24","0.19"
"ontario","0.92","1.18","0.29","0.27"
"manitoba and saskatchewan","0.72","0.99","0.22","0.23"
"alberta","0.92","1.60","0.31","0.31"
"british columbia","0.98","1.43","0.31","0.27"
"homeownership status","","","",""
"owners with a mortgage","1.72","2.46","0.35","0.35"
"owners without a mortgage","0.25","0.38","0.03","0.03"
"non-owners","0.27","0.31","0.34","0.37"
"income quintile","","","",""
"bottom quintile","0.62","0.76","0.45","0.40"
"second quintile","0.64","0.79","0.28","0.28"
"middle quintile","0.88","1.36","0.28","0.27"
"fourth quintile","0.91","1.34","0.24","0.21"
"top quintile","0.87","1.24","0.18","0.16"
