"family type","home ownership","affordability","adequacy","suitability"
"family type","percentage","percentage","percentage","percentage"
"people aged 18 to 64","","","",""
"people in couples","79.8","83.3","94.0","93.7"
"lone mothers","38.2","62.6","91.4","78.2"
"lone fathers","62.0","75.7","92.5","79.5"
"single women with no children","40.2","57.9","90.5","91.8"
"single men with no children","38.4","61.9","92.1","93.3"
"people aged 65 and over","","","",""
"seniors in couples","88.9","90.2","94.9","99.8"
"unattached senior women","57.3","59.5","95.0","99.3"
"unattached senior men","58.3","66.7","93.9","99.0"
