"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wycombe wanderers","2000-01","division two","1","0","0","0","0","0","0","0","1","0"
"aldershot town","2001-02","il premier division","17","2","2","0","-","-","6","0","25","2"
"aldershot town","2002-03","il premier division","20","3","1","0","-","-","2","0","23","3"
"aldershot town","2003-04","conference national","21","0","0","0","-","-","10","1","31","1"
"aldershot town","total","total","58","5","3","0","-","-","18","1","79","6"
"st albans city","2001-02","il premier division","7","0","0","0","-","-","1","0","8","0"
"gravesend & northfleet","2002-03","conference national","4","0","0","0","-","-","0","0","4","0"
"grays athletic","2004-05","conference south","37","1","1","0","-","-","14","1","52","2"
"grays athletic","2005-06","conference national","40","0","3","0","-","-","11","1","54","1"
"grays athletic","total","total","77","1","4","0","-","-","25","2","106","3"
"stevenage borough","2006-07","conference national","46","6","2","0","-","-","8","0","56","6"
"stevenage borough","2007-08","conference premier","14","2","3","0","-","-","0","0","17","2"
"stevenage borough","total","total","60","8","5","0","-","-","8","0","73","8"
"gillingham","2007-08","league one","3","0","0","0","0","0","0","0","3","0"
"gillingham","2007-08","league one","21","1","0","0","0","0","1","0","22","1"
"gillingham","2008-09","league two","45","0","4","0","1","0","4","0","54","0"
"gillingham","2009-10","league one","35","1","3","0","2","0","1","0","41","1"
"gillingham","2010-11","league two","34","1","1","0","1","0","1","0","37","1"
"gillingham","total","total","138","3","8","0","4","0","7","0","157","3"
"lincoln city","2011-12","conference premier","46","2","2","0","-","-","3","0","51","2"
"lincoln city","2012-13","conference premier","12","1","3","0","-","-","0","0","15","1"
"lincoln city","total","total","58","3","5","0","-","-","3","0","66","3"
"woking","2012-13","conference premier","5","0","0","0","-","-","2","0","7","0"
"woking","2012-13","conference premier","17","0","0","0","-","-","0","0","17","0"
"woking","2013-14","conference premier","43","1","1","0","-","-","6","0","50","1"
"woking","2014-15","conference premier","5","0","0","0","-","-","2","0","7","0"
"woking","total","total","70","1","1","0","-","-","10","0","81","1"
"career total","career total","career total","473","21","26","0","4","0","72","3","574","24"
