"club","season","league","league","league","state league","state league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"remo","2012","serie d","4","0","0","0","4","0","-","-","8","0","none","none"
"ponte preta","2013","serie a","1","0","1","0","2","0","-","-","4","0","none","none"
"vila nova","2013","serie c","11","0","0","0","0","0","-","-","11","0","none","none"
"fortaleza","2014","serie c","20","1","23","1","0","0","-","-","43","2","none","none"
"ceara","2015","serie b","17","0","15","0","3","0","-","-","8","0","43","0"
"ceara","2016","serie b","27","1","11","1","4","0","-","-","8","1","50","3"
"ceara","2017","serie b","27","0","13","1","1","0","-","-","3","0","44","1"
"ceara","total","total","71","1","39","2","8","0","-","-","19","1","137","4"
"avai","2018","serie b","0","0","8","0","0","0","-","-","8","0","none","none"
"brasil de pelotas","2018","serie b","1","0","0","0","0","0","-","-","1","0","none","none"
"career total","career total","career total","108","2","71","3","14","0","0","0","19","1","212","6"
