"industry and company size","naics code","company-performed r&d per r&d employee","company-performed r&d per r&d employee","company-performed r&d per r&d employee"
"industry and company size","naics code","worldwide","domestic","foreign"
"all industries","21-23, 31-33, 42-81","189","216","122"
"manufacturing industries","31-33","215","247","139"
"beverage and tobacco products","312","218","226","207"
"chemicals","325","324","371","202"
"pharmaceuticals and medicines","3254","403","449","262"
"chemicals except pharmaceuticals","325 less 3254","161","189","107"
"machinery","333","136","152","94"
"computer and electronic products","334","216","263","131"
"communications equipment","3342","236","277","158"
"semiconductor and other electronic components","3344","222","283","132"
"navigational, measuring, electromedical, and control instruments","3345","209","238","117"
"other computer and electronic products","other 334","171","214","93"
"electrical equipment, appliances, and components","335","106","136","67"
"automobiles, bodies, trailers, and parts","3361-63","198","202","190"
"manufacturing nec","other 31-33","190","210","114"
"nonmanufacturing industries","21-23, 42-81","149","169","95"
"mining, extraction, and support activities","21","240","256","154"
"information","51","175","207","106"
"software publishers","5112","161","196","104"
"other information","other 51","207","228","116"
"finance and insurance","52","169","169","165"
"computer systems design and related services","5415","94","124","34"
"scientific research and development services","5417","174","197","126"
"nonmanufacturing nec","other 21-23, 42-81","89","91","71"
