"type of cancer and linkage characteristics","new-foundland and labrador","prince edward island","nova scotia","new brunswick","ontario","manitoba","saskatch-ewan","alberta","british columbia"
"prostate","","","","","","","","",""
"number of cancers linking to at least one dad record","1,425","447","2,852","2,347","22,911","1,978","2,807","5,442","9,973"
"% of linked cancers with at least one out-of-province admission","4.5","27.7","7.5","1.5","0.3","1.6","9.4","1.5","1.2"
"% of linked cancers with at least one dad record documenting cancer diagnosis","83.7","81.2","87.8","81.6","83.1","79.1","85.2","84.9","77.4"
"female breast","","","","","","","","",""
"number of cancers linking to at least one dad record","1,264","358","2,792","2,088","17,800","2,985","2,601","6,608","10,642"
"% of linked cancers with at least one out-of-province admission","0.5","2.8","1.7","0.8","0.4","0.7","2.2","0.9","0.6"
"% of linked cancers with at least one dad record documenting cancer diagnosis","95.7","97.2","96.6","94.9","86.8","95.9","96.6","93.3","95.8"
"colorectal","","","","","","","","",""
"number of cancers linking to at least one dad record","1,842","411","3,146","2,042","27,767","3,069","2,674","6,265","9,945"
"% of linked cancers with at least one out-of-province admission","1.4","10.2","0.8","3.1","0.3","1.5","3.5","1.3","0.9"
"% of linked cancers with at least one dad record documenting cancer diagnosis","96.6","96.6","96.9","94.6","96.1","97.2","97.7","96.6","97.1"
"lung and bronchus","","","","","","","","",""
"number of cancers linking to at least one dad record","1,233","448","3,251","2,659","26,251","3,096","2,648","5,981","10,245"
"% of linked cancers with at least one out-of-province admission","1.1","27.0","3.1","1.0","0.4","1.0","2.6","1.5","0.9"
"% of linked cancers with at least one dad record documenting cancer diagnosis","91.0","95.5","93.7","90.3","93.6","93.5","92.9","93.4","91.5"
