"season","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"season","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2012","was","16","16","335","1,613","4.8","39t","13","11","77","7.0","20","0","4","3"
"2013","was","16","16","276","1,275","4.6","45t","7","9","78","8.7","17","0","5","4"
"2014","was","16","16","265","1,074","4.1","30","8","17","155","9.1","26","0","2","1"
"2015","was","16","16","202","751","3.7","48","1","10","55","5.5","12","0","0","0"
"2016","dal","14","0","69","243","3.5","17","2","3","11","3.7","6","0","0","0"
"2017","dal","14","5","115","547","4.8","70","1","7","45","6.4","13","0","0","0"
"2018","sf","11","1","111","428","3.9","51","2","8","73","9.1","16","0","2","1"
"total","total","104","70","1,373","5,931","4.3","70","34","65","494","7.6","26","0","13","9"
