"actor","films","films","films"
"actor","a fistful of dollars","for a few dollars more","the good, the bad and the ugly"
"clint eastwood","joe","manco","blondie"
"mario brega","chico","nino","corporal wallace"
"aldo sambrell","manolo","cuchillo","angel eyes gang member"
"benito stefanelli","rubio","hughie","angel eyes gang member"
"lorenzo robledo","baxter's member","tomaso","clem"
"joseph egger","piripero","old prophet","none"
"gian maria volonte","ramon rojo","el indio","none"
"lee van cleef","none","colonel douglas mortimer","angel eyes"
"luigi pistilli","none","groggy","father pablo ramirez"
"roman ariznavarreta","none","half-shaved bounty hunter","bounty hunter"
"antonito ruiz","none","fernando","stevens' youngest son"
"marianne koch","marisol","none","none"
"eli wallach","none","none","tuco ramirez"
