"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"arsenal de sarandi","2013-14","primera division","1","0","0","0","0","0","0","0","1","0"
"arsenal de sarandi","2014","primera division","0","0","0","0","0","0","0","0","0","0"
"arsenal de sarandi","2015","primera division","0","0","0","0","0","0","0","0","0","0"
"arsenal de sarandi","2016","primera division","5","0","0","0","-","-","0","0","5","0"
"arsenal de sarandi","2016-17","primera division","2","0","0","0","0","0","0","0","2","0"
"arsenal de sarandi","2017-18","primera division","0","0","0","0","0","0","0","0","0","0"
"arsenal de sarandi","total","total","8","0","0","0","0","0","0","0","8","0"
"rio grande valley fc toros","2018","united soccer league","19","3","-","-","0","0","19","3","none","none"
"houston dynamo","2018","major league soccer","0","0","1","1","-","-","0","0","1","1"
"career total","career total","career total","27","3","1","1","0","0","0","0","28","4"
