"relationship of the accused to the victim","female accused","female accused","male accused","male accused"
"relationship of the accused to the victim","number","percent","number","percent"
"spouse","122","23","559","13"
"dating or other intimate partner","38","7","216","5"
"parent","93","17","179","4"
"child","27","5","270","6"
"other family","48","9","312","7"
"close friend","17","3","339","8"
"stranger","35","7","778","18"
"other","153","29","1,774","40"
"unknown","4","..","34",".."
"total","537","100","4,461","100"
