"","all workers","all workers","homelessness support sector","homelessness support sector","social workers","social workers","social and community service workers","social and community service workers"
"","count","percentage","count","percentage","count","percentage","count","percentage"
"total - census family status","19,956,250","100.0","6,305","100.0","62,235","100.0","155,625","100.0"
"married or common-law couple","13,812,910","69.2","3,535","56.1","42,200","67.8","95,890","61.6"
"with children","9,151,300","45.9","2,140","33.9","27,960","44.9","61,975","39.8"
"without children","4,661,610","23.4","1,400","22.2","14,240","22.9","33,910","21.8"
"lone parent","1,995,250","10.0","915","14.5","7,070","11.4","22,330","14.3"
"female lone parent","1,208,105","6.1","830","13.2","6,455","10.4","19,360","12.4"
"male lone parent","787,150","3.9","85","1.3","605","1.0","2,965","1.9"
"multiple census-family household","876,270","4.4","230","3.6","1,825","2.9","6,470","4.2"
"non-census family household","3,271,825","16.4","1,625","25.8","11,140","17.9","30,940","19.9"
"one person household","2,290,860","11.5","1,075","17.0","8,825","14.2","20,925","13.4"
