"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"guingamp","2004-05","ligue 2","11","0","3","0","-","-","14","0"
"guingamp","2005-06","ligue 2","9","0","1","0","-","-","10","0"
"guingamp","2006-07","ligue 2","21","0","2","0","-","-","23","0"
"guingamp","total","total","41","0","6","0","0","0","47","0"
"tours","2007-08","national","33","1","6","1","-","-","39","2"
"tours","2008-09","ligue 2","34","5","5","1","-","-","39","6"
"tours","total","total","67","6","11","2","0","0","78","8"
"lorient","2009-10","ligue 1","35","3","5","1","-","-","40","4"
"lorient","total","total","35","3","5","1","0","0","40","4"
"arsenal","2010-11","premier league","30","2","9","1","4","0","43","3"
"arsenal","2011-12","premier league","33","2","3","0","6","1","42","3"
"arsenal","2012-13","premier league","25","2","4","1","5","1","34","4"
"arsenal","2013-14","premier league","32","2","5","1","9","0","46","3"
"arsenal","2014-15","premier league","27","3","6","0","6","0","39","3"
"arsenal","2015-16","premier league","33","4","4","0","7","0","44","4"
"arsenal","2016-17","premier league","33","2","2","0","8","0","42","2"
"arsenal","2017-18","premier league","25","2","2","0","6","0","33","2"
"arsenal","2018-19","premier league","13","3","2","0","7","0","22","3"
"arsenal","total","total","251","22","37","3","58","2","346","27"
"career total","career total","career total","394","31","59","6","58","2","511","39"
