"year","team","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","fumbles"
"year","team","gp","gs","comb","total","ast","sack","ff","fr","yds","td"
"2003","ind","16","0","20","17","3","3.5","3","1","0","0"
"2004","ind","16","1","36","32","4","10.5","6","3","26","0"
"2005","ind","13","0","54","43","11","11.5","8","0","0","0"
"2006","ind","16","16","65","50","15","9.5","4","2","0","0"
"2007","ind","13","12","32","26","6","7.0","4","1","0","0"
"2008","ind","15","2","48","36","12","11.5","5","3","37","1"
"2009","ind","14","9","37","24","13","9.5","5","0","0","0"
"2010","ind","16","16","60","44","16","11.0","1","1","1","0"
"2011","ind","16","15","43","29","14","9.5","3","3","0","0"
"2012","ind","12","12","33","22","11","8.0","1","0","0","0"
"2013","ind","16","16","59","44","15","19.5","8","0","0","0"
"2014","ind","dnp - injury","dnp - injury","dnp - injury","dnp - injury","dnp - injury","dnp - injury","dnp - injury","dnp - injury","dnp - injury","dnp - injury"
"2015","ind","15","10","20","15","5","7.0","1","1","0","1"
"2016","ind","14","12","20","15","5","5.0","3","2","14","1"
"career","career","191","129","527","397","130","123.0","52","17","78","3"
