"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"southampton","1987-88","first division","5","3","0","0","0","0","-","-","5","3","none","none"
"southampton","1988-89","first division","10","0","0","0","0","0","-","-","10","0","none","none"
"southampton","1989-90","first division","26","3","3","0","6","2","-","-","35","5","none","none"
"southampton","1990-91","first division","36","4","4","2","6","6","-","-","2","2","48","14"
"southampton","1991-92","first division","41","13","7","2","6","3","-","-","6","3","60","21"
"southampton","total","total","118","23","14","4","18","11","0","0","8","5","158","43"
"blackburn rovers","1992-93","premier league","21","16","0","0","5","6","-","-","26","22","none","none"
"blackburn rovers","1993-94","premier league","40","31","4","2","4","1","-","-","48","34","none","none"
"blackburn rovers","1994-95","premier league","42","34","2","0","3","2","2","1","-","-","49","37"
"blackburn rovers","1995-96","premier league","35","31","2","0","4","5","6","1","1","0","48","37"
"blackburn rovers","total","total","138","112","8","2","16","14","8","2","1","0","171","130"
"newcastle united","1996-97","premier league","31","25","3","1","1","1","4","1","1","0","40","28"
"newcastle united","1997-98","premier league","17","2","6","5","0","0","-","-","23","7","none","none"
"newcastle united","1998-99","premier league","30","14","6","5","2","1","2","1","-","-","40","21"
"newcastle united","1999-2000","premier league","37","23","6","5","1","0","6","2","-","-","50","30"
"newcastle united","2000-01","premier league","19","5","0","0","4","2","-","-","23","7","none","none"
"newcastle united","2001-02","premier league","37","23","5","2","4","2","-","-","46","27","none","none"
"newcastle united","2002-03","premier league","35","17","1","1","0","0","12","7","-","-","48","25"
"newcastle united","2003-04","premier league","37","22","2","0","1","0","12","6","-","-","52","28"
"newcastle united","2004-05","premier league","28","7","4","1","1","0","9","11","-","-","42","19"
"newcastle united","2005-06","premier league","32","10","3","1","2","1","4","2","-","-","41","14"
"newcastle united","total","total","303","148","36","21","16","7","49","30","1","0","405","206"
"career total","career total","career total","559","283","58","27","50","32","56","32","10","5","734","379"
