"characteristics","yukon","yukon","northwest territories","northwest territories","nunavut","nunavut","all territories","all territories"
"characteristics","number","rate","number","rate","number","rate","number","rate"
"physically or sexually assaulted by an adult before age 15","","","","","","","",""
"no","1,797","95","1,350","68","f","f","6,102","111"
"yes - physically and/or sexually assaulted","1,751","169","4,008","330","2,990","381","8,749","288"
"physical violence","1,630","183","3,813","349","2,886","427","8,329","313"
"sexual violence","f","f","f","f","f","f","2,501","267"
"self-rated mental health","","","","","","","",""
"excellent or very good","2,063","99","2,749","128","2,375","172","7,187","128"
"good","1,201","167","f","f","f","f","6,000","230"
"poor or fair","f","f","f","f","f","f","1,712","320"
"disability status","","","","","","","",""
"no disability","2,746","128","2,802","108","4,351","224","9,898","148"
"mental-health condition or learning disability","f","f","f","f","f","f","1,581","251"
"physical disability","f","f","1,834","358","f","f","3,412","236"
"used drugs during the month preceding the survey","","","","","","","",""
"no","2,511","101","3,472","123","3,541","195","9,524","134"
"yes","f","f","f","f","2,400","366","5,376","333"
"5 or more alcoholic drinks in one sitting (binge drinking) during the month preceding the survey","","","","","","","",""
"none","1,756","88","2,806","126","4,386","234","8,947","147"
"at least once","1,827","196","2,523","236","1,547","274","5,897","230"
"number of evening activities during the month preceding the survey","","","","","","","",""
"0 to 14","1,432","88","2,596","151","1,974","165","6,001","132"
"15 or more","2,151","165","2,712","177","3,917","334","8,780","219"
"ever been homeless","","","","","","","",""
"no","2,598","108","2,929","107","4,258","197","9,785","134"
"yes","f","f","f","428","1,744","550","5,176","357"
"residential mobility - number of moves in past 5 years","","","","","","","",""
"none","1,569","83","f","f","f","f","7,482","139"
"1 or 2","f","f","2,138","266","831","139","3,690","178"
"3 or more","1,292","304","f","f","f","f","3,789","280"
"social disorder in the neighbourhood","","","","","","","",""
"no","1,911","89","2,313","127","f","f","6,357","122"
"yes","1,671","198","3,064","201","3,870","313","8,605","239"
"people in neighbourhood help each other","","","","","","","",""
"no","f","f","f","f","f","f","3,031","291"
"yes","2,528","99","4,200","150","4,821","221","11,548","153"
"likelihood that neighbours call the police if witness what seems like criminal behaviour","","","","","","","",""
"likely","2,639","100","4,529","154","4,155","220","11,324","152"
"unlikely","f","f","f","f","f","f","3,354","320"
