"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"blackburn rovers","1993-94","premier league","0","0","0","0","0","0","0","0","0","0"
"blackburn rovers","1994-95","premier league","0","0","0","0","0","0","1","0","1","0"
"blackburn rovers","total","total","0","0","0","0","0","0","1","0","1","0"
"wigan athletic","1993-94","third division","11","0","0","0","0","0","0","0","11","0"
"wigan athletic","total","total","11","0","0","0","0","0","0","0","11","0"
"swindon town","1994-95","first division","20","9","1","0","2","2","0","0","23","11"
"swindon town","1995-96","second division","26","10","5","0","1","0","2","1","34","11"
"swindon town","1996-97","first division","31","8","0","0","3","2","0","0","34","10"
"swindon town","total","total","77","27","6","0","6","4","2","1","91","32"
"stoke city","1997-98","first division","36","12","1","0","4","4","0","0","41","16"
"stoke city","1998-99","second division","34","9","2","0","2","1","1","1","39","11"
"stoke city","1999-2000","second division","45","24","1","0","3","1","6","5","55","30"
"stoke city","2000-01","second division","38","16","2","0","4","0","5","3","49","19"
"stoke city","2001-02","second division","5","4","0","0","0","0","0","0","5","4"
"stoke city","total","total","158","65","6","0","13","6","12","9","189","80"
"cardiff city","2001-02","second division","26","8","0","0","0","0","2","0","28","8"
"cardiff city","2002-03","second division","46","13","4","1","1","1","4","1","55","15"
"cardiff city","2003-04","first division","23","13","1","0","1","0","0","0","25","13"
"cardiff city","2004-05","championship","31","12","2","0","2","2","0","0","35","14"
"cardiff city","total","total","126","46","7","1","4","3","6","1","143","51"
"norwich city","2005-06","championship","21","1","1","0","1","0","0","0","23","1"
"norwich city","2006-07","championship","15","0","2","0","2","1","0","0","19","1"
"norwich city","total","total","36","1","3","0","3","1","0","0","42","2"
"bradford city","2007-08","league two","33","14","2","1","0","0","1","0","36","15"
"bradford city","2008-09","league two","37","17","1","0","1","0","0","0","39","17"
"bradford city","2009-10","league two","7","0","0","0","0","0","2","0","9","0"
"bradford city","total","total","77","31","3","1","1","0","3","0","84","32"
"career total","career total","career total","485","170","25","2","27","14","24","11","561","197"
