"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"new york red bulls","2007","mls","12","0","1","0","-","-","2","0","14","0"
"new york red bulls","2008","mls","16","0","1","0","-","-","4","0","20","0"
"new york red bulls","2009","mls","23","1","2","0","2","0","-","-","23","1"
"new york red bulls","2010","mls","18","1","3","1","-","-","18","1","none","none"
"new york red bulls","total","total","69","2","7","1","2","0","6","0","84","3"
"montreal impact","2011","nasl","10","3","0","0","-","-","10","3","none","none"
"montreal impact","2012","mls","12","2","2","0","-","-","14","2","none","none"
"montreal impact","2013","mls","1","0","1","0","0","0","0","0","2","0"
"montreal impact","total","total","13","2","3","0","0","0","0","0","16","2"
"minnesota united","2013","nasl","7","0","0","0","-","-","7","0","none","none"
"ottawa fury","2014","nasl","24","4","1","0","none","none","25","4","none","none"
"ottawa fury","2015","nasl","24","5","2","0","none","none","2","0","28","5"
"ottawa fury","total","total","48","9","3","0","none","none","2","0","53","9"
"indy eleven","2016","nasl","14","0","1","0","none","none","2","1","17","1"
"indy eleven","2017","nasl","20","0","0","0","none","none","20","0","none","none"
"indy eleven","total","total","34","0","1","0","none","none","2","1","37","1"
"career total","career total","career total","182","16","14","1","2","0","10","1","208","18"
