"covariates","job quality profiles","job quality profiles","job quality profiles","job quality profiles"
"covariates","high overall quality jobs","good quality jobs, poor working-time quality","fair quality jobs, poor job resources and benefits","poor overall quality jobs"
"covariates","class 1","class 2","class 3","class 4"
"covariates","probability","probability","probability","probability"
"reference person","0.302","0.272","0.141","0.285"
"men","0.316","0.268","0.144","0.272"
"women","0.287","0.276","0.138","0.299"
"ages 18 to 29","0.254","0.263","0.198","0.285"
"ages 30 to 44","0.303","0.284","0.149","0.264"
"ages 45 to 59","0.325","0.270","0.105","0.299"
"ages 60 and older","0.340","0.236","0.121","0.304"
"high school","0.254","0.302","0.175","0.269"
"some postsecondary education","0.296","0.287","0.138","0.278"
"university degree","0.351","0.230","0.118","0.302"
"canadian-born","0.301","0.276","0.134","0.289"
"immigrant","0.306","0.256","0.168","0.270"
"full-time","0.320","0.285","0.130","0.265"
"part-time","0.234","0.219","0.185","0.362"
"regular contract","0.311","0.284","0.141","0.265"
"atypical contract","0.228","0.188","0.132","0.452"
"firm size of fewer than 20 employees","0.231","0.175","0.261","0.333"
"firm size of 20 to 99 employees","0.269","0.276","0.171","0.284"
"firm size of 100 to 500 employees","0.357","0.329","0.075","0.239"
"firm size of 500 employees or more","0.368","0.335","0.068","0.228"
"public","0.427","0.358","0.047","0.168"
"primary","0.343","0.265","0.118","0.273"
"finance/professional","0.403","0.211","0.130","0.255"
"education","0.165","0.585","0.102","0.147"
"trades/transportation","0.266","0.259","0.141","0.334"
"construction","0.280","0.170","0.264","0.286"
"health care","0.206","0.418","0.134","0.242"
"manufacturing","0.291","0.176","0.186","0.347"
"hospitality","0.308","0.159","0.167","0.366"
"professionals","0.455","0.217","0.112","0.215"
"clerks","0.345","0.216","0.148","0.291"
"technicians","0.250","0.343","0.132","0.275"
"managers","0.477","0.131","0.157","0.235"
"operators","0.163","0.380","0.160","0.297"
"elementary","0.146","0.412","0.102","0.340"
"sales","0.323","0.234","0.134","0.309"
"personal services","0.221","0.311","0.152","0.316"
"atlantic","0.246","0.344","0.148","0.262"
"quebec","0.311","0.228","0.166","0.295"
"ontario","0.284","0.276","0.127","0.314"
"prairies","0.341","0.284","0.141","0.234"
"british columbia","0.310","0.283","0.138","0.269"
