"activities","participation rate","participation rate","average time spent","average time spent"
"activities","employed","not employed","employed","not employed"
"activities","percent","percent","hours","hours"
"doing unpaid household work","78","89","2.5","3.3"
"engaging in civic, religious and organizational activities","9","9","1.9","2.1"
"socializing and communicating","36","43","2.4","2.2"
"engaging in leisure and physical activities","30","42","1.7","2.2"
"using technology","33","28","1.8","2.0"
"watching television and videos","80","85","3.0","4.2"
"reading","31","39","1.4","2.0"
