"","all new immigrants","all new immigrants","principal applicants in the economic class","principal applicants in the economic class"
"","1999","2010","1999","2010"
"","percent","percent","percent","percent"
"men","","","",""
"provincial nominee principal applicants","0.3","12.5","0.5","25.8"
"live-in caregiver principal applicants","0.1","0.7","0.2","1.5"
"skilled worker principal applicants","51.1","33.4","94.1","68.9"
"business class principal applicants","2.9","1.9","5.3","3.9"
"economic class spouses and dependants","8.8","19.2","..",".."
"family class","23.2","20.1","..",".."
"refugees","13.0","12.2","..",".."
"others","0.7","0.0","..",".."
"women","","","",""
"provincial nominee principal applicants","0.1","6.3","0.3","16.1"
"live-in caregiver principal applicants","5.0","11.8","19.7","30.2"
"skilled worker principal applicants","19.6","20.5","77.5","52.7"
"business class principal applicants","0.6","0.4","2.5","0.9"
"economic class spouses and dependants","30.2","27.1","..",".."
"family class","35.1","24.5","..",".."
"refugees","8.9","9.4","..",".."
"others","0.6","0.0","..",".."
