"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","punt return","punt return","punt return","punt return","punt return","kick return","kick return","kick return","kick return","kick return","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","att","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2005","sd","15","0","3","10","3.3","6","0","8","50","6.3","21","0","18","108","6.0","23","0","63","1,528","24.3","58","0","3","2"
"2006","sd","0","0","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2007","sd","15","0","10","31","3.1","14","0","37","164","4.4","34","2","24","229","9.5","45t","1","37","1,008","27.2","89t","1","1","0"
"2008","sd","16","0","29","342","11.8","66t","5","61","330","5.4","37","1","22","249","11.3","43","0","53","1,376","26.0","103t","1","3","2"
"2009","sd","16","2","45","497","11.0","81t","4","93","343","3.7","21","3","26","183","7.0","77t","1","54","1,300","24.1","66","0","3","1"
"2010","sd","16","3","59","520","8.8","57t","2","50","267","5.3","34","0","24","166","6.9","16","0","51","1,257","24.6","45","0","3","3"
"2011","no","16","4","86","710","8.3","39","7","87","603","6.9","36","2","29","294","10.1","72t","1","40","1,089","27.2","92","0","0","0"
"2012","no","13","4","75","667","8.9","44","7","48","244","5.1","47","1","23","183","8.0","37","0","18","483","26.8","48","0","0","0"
"2013","no","15","4","71","604","8.5","48","2","53","220","4.2","38","2","29","194","6.7","28","0","12","255","21.3","32","0","2","2"
"2014","phi","15","0","40","387","9.7","57","0","57","329","5.8","49t","6","39","509","13.0","82t","2","1","15","15.0","15","0","4","1"
"2015","phi","16","4","55","388","7.1","35","1","83","317","3.8","27","3","38","446","11.7","89t","2","1","20","20.0","20","0","2","0"
"2016","phi","15","5","52","427","8.2","73t","2","94","438","4.7","25t","2","17","224","13.2","66","0","1","19","19.0","19","0","1","0"
"2017","phi","3","0","7","73","10.3","16","0","15","61","4.1","12","0","1","10","10.0","10","0","0","0","0.0","0","0","1","1"
"2018","phi","6","2","15","160","10.7","37","2","29","120","4.1","17","1","10","83","8.3","14","0","1","2","2.0","2","0","0","0"
"career","career","177","30","547","4,816","8.8","81t","32","715","3,486","4.9","49t","23","300","2,875","9.6","89t","7","332","8,352","25.2","103t","2","22","11"
