"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"coventry city","1968-69","first division","1","0","0","0","0","0","0","0","1","0"
"coventry city","1969-70","first division","4","1","0","0","0","0","0","0","4","1"
"coventry city","total","total","5","1","0","0","0","0","0","0","5","1"
"norwich city","1969-70","second division","30","2","1","0","0","0","0","0","31","2"
"norwich city","1970-71","second division","40","1","1","0","4","0","0","0","45","1"
"norwich city","1971-72","second division","40","8","1","0","5","2","0","0","46","10"
"norwich city","1972-73","first division","38","7","3","0","7","5","6","0","54","12"
"norwich city","1973-74","first division","14","1","1","0","2","0","5","2","22","3"
"norwich city","total","total","162","19","7","0","18","7","11","2","198","28"
"west ham united","1973-74","first division","24","4","2","0","0","0","0","0","26","4"
"west ham united","1974-75","first division","40","4","8","0","3","0","3","0","54","4"
"west ham united","1975-76","first division","39","2","1","0","5","1","12","2","57","5"
"west ham united","1976-77","first division","12","1","0","0","3","1","0","0","15","2"
"west ham united","total","total","115","11","11","0","11","2","15","2","152","15"
"norwich city","1976-77","first division","3","0","0","0","0","0","0","0","3","0"
"norwich city","1977-78","first division","18","0","0","0","0","0","0","0","18","0"
"norwich city","1978-79","first division","17","1","0","0","0","0","0","0","17","1"
"norwich city","1979-80","first division","40","2","3","1","6","2","0","0","49","5"
"norwich city","1980-81","first division","42","3","2","0","4","0","0","0","48","3"
"norwich city","1981-82","second division","8","0","0","0","0","0","3","0","11","0"
"norwich city","total","total","128","6","5","1","10","2","3","0","146","9"
"tampa bay rowdies","1978","nasl","25","5","-","-","25","5","none","none","none","none"
"millwall","1981-82","third division","5","1","0","0","0","0","0","0","5","1"
"career total","career total","career total","440","43","23","1","39","11","29","4","531","59"
