"caracteristics","rate of helping others directly","frequency of helping others directly","frequency of helping others directly","frequency of helping others directly","frequency of helping others directly"
"caracteristics","rate of helping others directly","daily or almost daily","at least once a week","at least once a month","a few times a year"
"total","82","13","33","30","25"
"sex","","","","",""
"men","82","11","31","31","27"
"women","81","16","34","28","22"
"age group","","","","",""
"15 to 19","91","21","39","20","19"
"20 to 24","88","17","39","27","17"
"25 to 34","89","11","30","35","25"
"35 to 44","84","10","28","34","28"
"45 to 54","82","13","31","29","27"
"55 to 64","79","15","34","27","24"
"65 to 74","76","14","34","28","25"
"75 years and older","55","10","37","28","25"
"marital status","","","","",""
"married or common-law","81","11","30","32","27"
"single, never married","86","17","37","25","21"
"separated or divorced","78","17","35","26","23"
"widowed","62","16","37","24","24"
"level of education","","","","",""
"less than high school","72","18","38","23","20"
"high school diploma","81","15","35","25","24"
"post-secondary diploma or certificate","84","13","31","31","24"
"university degree","86","10","29","34","27"
"labour force participation","","","","",""
"employed","86","12","30","31","26"
"unemployed","87","18","38","29","15"
"not in the labour force","74","16","37","25","22"
"household income","","","","",""
"less than $20,000","78","16","41","21","22"
"$20,000 to $39,999","75","17","37","27","20"
"$40,000 to $59,999","76","13","34","28","25"
"$60,000 to $79,999","82","13","32","31","24"
"$80,000 to $99,999","83","12","32","30","26"
"$100,000 to $119,999","86","11","29","34","26"
"$120,000 and over","85","13","31","30","26"
"presence of children in the household","","","","",""
"no child","79","13","33","29","24"
"pre-school aged children only","88","11","27","34","28"
"both pre-school and school-aged children","86","13","32","30","25"
"school-aged children only","85","15","32","28","25"
"religious attendance","","","","",""
"weekly","82","16","35","29","20"
"other","81","13","32","29","25"
"birthplace","","","","",""
"canada","83","13","33","30","24"
"outside canada","80","14","31","28","27"
