"socio-demographic or economic characteristic","police","school system","banks","justice system and courts","media","federal parliament","major corporations"
"socio-demographic or economic characteristic","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","",""
"male","73","60","56","56","40","35","28"
"female","79","62","63","59","41","40","32"
"age group","","","","","","",""
"15 to 24 years","73","61","67","61","34","50","34"
"25 to 34 years","72","60","52","54","37","35","26"
"35 to 44 years","78","62","54","59","41","36","29"
"45 to 54 years","75","58","56","56","40","33","27"
"55 to 64 years","76","59","58","54","42","33","29"
"65 to 74 years","78","63","65","57","44","36","33"
"75 years and older","85","70","78","64","54","44","43"
"marital status","","","","","","",""
"married/common law","78","62","58","58","41","36","30"
"separated/divorced","73","56","55","50","43","30","27"
"single","71","60","60","57","36","42","30"
"widowed","83","68","74","59","51","42","38"
"level of education","","","","","","",""
"less than high school","76","62","67","58","45","45","38"
"high school diploma","75","58","61","54","39","38","30"
"post-secondary diploma or certificate","74","58","55","52","38","33","28"
"university degree","79","66","59","67","43","39","29"
"main activity in the last 12 months","","","","","","",""
"working at a paid job or business","74","60","55","55","39","34","27"
"looking for paid work","73","60","59","61","36","38","30"
"going to school","75","63","65","64","35","51","35"
"caring, household work","80","64","64","63","46","46","37"
"retired","80","65","68","59","47","38","35"
"other","75","56","57","53","42","34","31"
"household income","","","","","","",""
"less than $20,000","71","59","62","55","44","41","34"
"$20,000 to $39,999","75","60","61","57","43","39","33"
"$40,000 to $59,999","74","59","58","53","39","36","27"
"$60,000 to $99,999","76","62","57","56","40","36","28"
"$100,000 to $149,999","78","61","56","58","38","33","27"
"$150,000 or more","79","63","63","63","40","38","32"
"visible minority","","","","","","",""
"visible minority","75","71","67","71","48","56","39"
"non-visible minority","76","59","58","55","39","34","29"
"aboriginal identity","","","","","","",""
"aboriginal","68","53","56","43","33","31","27"
"non-aboriginal","76","61","60","58","41","38","30"
"immigrant status","","","","","","",""
"non-immigrant","75","59","58","54","38","34","28"
"longer-term immigrant","76","68","64","69","46","46","33"
"recent immigrant","83","75","69","79","52","63","44"
"immigrant, length of time in canada unknown","79","64","67","65","45","50","42"
"mother tongue","","","","","","",""
"english","76","59","60","55","38","34","29"
"french","73","58","53","50","40","35","26"
"both english and french","74","49","49","55","33","32","23"
"non-official language only","79","71","67","72","50","53","39"
"total - great deal or some confidence","76","61","59","57","40","38","30"
