"census metropolitan area","pre-#metoo","pre-#metoo","post-#metoo","post-#metoo","percent change in rate"
"census metropolitan area","number","average rate","number","rate","percent"
"total cmas","24,298","13.7","4,528","17.7","29"
"st. john's","234","16.2","43","20.8","28"
"halifax","640","21.5","105","24.5","14"
"moncton","133","12.1","21","13.3","10"
"saguenay","149","12.9","36","21.8","69"
"quebec","651","11.7","166","20.8","78"
"sherbrooke","210","15.1","53","26.5","76"
"trois-rivieres","149","13.7","25","16.1","17"
"montreal","3,427","12.0","821","20.0","67"
"gatineau","286","12.3","59","17.7","44"
"ottawa","1,032","14.5","218","21.2","46"
"kingston","216","18.5","50","29.7","61"
"peterborough","198","23.0","45","36.3","58"
"toronto","4,628","11.8","745","13.2","11"
"hamilton","793","20.3","130","23.1","14"
"st. catharines-niagara","441","14.0","69","15.2","9"
"kitchener-cambridge-waterloo","565","14.7","124","22.3","52"
"brantford","174","17.0","44","29.9","76"
"guelph","175","18.8","35","26.0","39"
"london","468","13.0","110","21.2","63"
"windsor","314","13.5","43","12.8","-5"
"barrie","218","14.3","21","9.5","-33"
"greater sudbury","189","16.5","37","22.6","37"
"thunder bay","194","23.2","23","19.3","-17"
"winnipeg","1,337","24.0","243","30.3","26"
"regina","290","16.7","46","18.3","10"
"saskatoon","519","23.0","86","26.3","14"
"calgary","1,296","12.6","229","15.4","23"
"edmonton","1,822","18.8","292","20.9","11"
"kelowna","121","8.8","17","8.6","-2"
"abbotsford-mission","158","12.0","26","13.8","14"
"vancouver","1,976","11.1","357","14.0","26"
"victoria","455","17.6","71","19.1","8"
"total non-cmas","13,626","18.3","2,238","20.9","15"
"urban areas","5,585","17.1","949","20.3","19"
"rural and small town","8,041","19.2","1,289","21.5","12"
"canada","37,924","15.0","6,766","18.6","24"
