"type of unwanted behaviour","women","women","women","men","men","men","total","total","total"
"type of unwanted behaviour","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"type of unwanted behaviour","percent","from","to","percent","from","to","percent","from","to"
"unwanted sexual behaviours in public spaces","","","","","","","","",""
"unwanted physical contact","22","19","25","10","8","12","16","14","18"
"indecent exposure","4","3","6","4","3","6","4","4","5"
"unwanted comments about sex or gender","14","12","18","7","5","9","10","9","12"
"unwanted comments about sexual orientation or assumed sexual orientation","7","5","8","5","4","7","6","5","7"
"unwanted sexual attention","27","24","30","7","5","9","17","15","18"
"experienced unwanted sexual behaviour in public spaces","35","32","38","16","13","20","25","23","28"
"unwanted behaviours online","","","","","","","","",""
"threatening or aggressive emails or messages directed at you personally","15","13","18","10","8","13","13","11","15"
"threatening or aggressive emails or messages sent to a group or on social media","7","5","9","4","3","6","6","5","7"
"posting or distributing, or threatening to post or distribute, intimate or sexually explicit images without consent","2","1","4","2","1","4","2","1","3"
"pressure to send, share, or post sexually suggestive or explicit images or messages","7","5","9","2","1","3","4","3","6"
"being sent unwanted sexually suggestive or explicit images or messages","13","11","17","6","5","8","10","8","12"
"experienced unwanted behaviour online","24","21","27","16","14","19","20","18","22"
"inappropriate sexual behaviours in the workplace","","","","","","","","",""
"inappropriate sexual jokes","20","17","23","9","7","11","14","13","16"
"unwanted sexual attention, such as whistles, calls, suggestive looks, gestures or body language","17","14","20","2","2","4","9","8","11"
"unwanted physical contact, such as hugs or shoulder rubs or getting too close","14","11","16","3","2","5","8","7","10"
"suggestions that you do not act like a man or woman is supposed to act","9","7","12","4","3","6","7","6","8"
"someone insulted, mistreated, ignored or excluded you because of your gender","12","9","15","4","2","5","7","6","9"
"someone insulted, mistreated, ignored or excluded you because of your sexual orientation or assumed sexual orientation","3","2","5","1","1","3","2","1","3"
"someone insulted, mistreated, ignored or excluded you because you are, or are assumed to be, transgender","f","f","f","f","f","f","1","0","1"
"experienced inappropriate sexual behaviour in the workplace","31","28","34","16","13","19","23","21","25"
"all situations","","","","","","","","",""
"experienced at least one unwanted behaviour in a public space, online or in the workplace","48","45","51","32","29","36","40","37","42"
