"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"everton","1956-57","first division","10","2","0","0","0","0","10","2"
"everton","1957-58","first division","1","0","0","0","0","0","1","0"
"everton","total","total","11","2","0","0","0","0","11","2"
"crewe alexandra","1958-59","fourth division","41","15","2","1","0","0","43","16"
"crewe alexandra","1959-60","fourth division","40","25","6","5","0","0","46","30"
"crewe alexandra","1960-61","fourth division","15","7","0","0","2","2","17","9"
"crewe alexandra","total","total","96","47","8","6","2","2","106","55"
"port vale","1960-61","third division","28","20","2","0","0","0","30","20"
"port vale","1961-62","third division","42","15","7","4","1","1","50","20"
"port vale","1962-63","third division","18","7","2","3","1","0","21","10"
"port vale","total","total","88","42","11","7","2","1","101","50"
"northampton town","1962-63","third division","1","0","0","0","0","0","1","0"
"northampton town","1963-64","second division","0","0","0","0","1","0","1","0"
"northampton town","total","total","1","0","0","0","1","0","2","0"
"walsall","1963-64","third division","10","4","0","0","0","0","10","4"
"walsall","1964-65","third division","7","2","0","0","2","1","9","3"
"walsall","total","total","17","6","0","0","2","1","19","7"
"wigan athletic total","wigan athletic total","wigan athletic total","115","96","0","0","70","44","185","140"
"career total","career total","career total","328","193","19","13","77","48","424","254"
