"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"cardiff city","1971-72","second division","6","0","3","1","0","0","9","1"
"cardiff city","1972-73","second division","29","2","4","2","0","0","33","4"
"cardiff city","total","total","35","2","7","3","0","0","42","5"
"norwich city","1973-74","first division","3","0","0","0","1","1","4","1"
"millwall","1974-75","second division","0","0","0","0","0","0","0","0"
"peterborough united","1979-80","fourth division","45","19","1","1","6","3","52","23"
"peterborough united","1980-81","fourth division","46","13","6","0","4","1","56","14"
"peterborough united","1981-82","fourth division","43","11","3","0","6","1","52","12"
"peterborough united","total","total","134","43","10","1","16","5","160","49"
"luton town","1982-83","first division","7","0","1","0","1","2","9","2"
"wolverhampton wanderers","1982-83","second division","9","3","0","0","0","0","9","3"
"wolverhampton wanderers","1983-84","first division","3","0","0","0","0","0","3","0"
"wolverhampton wanderers","total","total","12","3","0","0","0","0","12","3"
"southend united","1983-84","third division","40","5","1","0","4","4","45","9"
"southend united","1984-85","fourth division","13","3","2","0","3","0","18","3"
"southend united","total","total","53","8","3","0","6","4","62","12"
"port vale","1984-85","fourth division","11","4","0","0","2","0","13","4"
"halifax town","1985-86","fourth division","43","17","5","0","3","0","51","17"
"career total","career total","career total","298","77","21","4","29","12","348","93"
