"court outcomes of completed court cases","summary cases","summary cases","summary cases","summary cases","indictable cases","indictable cases","indictable cases","indictable cases"
"court outcomes of completed court cases","pre-2005","pre-2005","post-2005","post-2005","pre-2005","pre-2005","post-2005","post-2005"
"court outcomes of completed court cases","number","percent","number","percent","number","percent","number","percent"
"total cases, by decision","26","100","55","100","51","100","110","100"
"acquitted","0","0","0","0","0","0","0","0"
"stay of proceeding","1","4","2","4","2","4","5","5"
"withdrawn, dismissed, discharged","9","35","3","5","5","10","9","8"
"other decision","0","0","0","0","0","0","0","0"
"guilty","16","62","50","91","44","86","96","87"
"total guilty cases, by sentence and custody length","16","100","50","100","44","100","96","100"
"conditional sentence","5","31","0","0","17","40","1","1"
"probation","3","19","1","2","2","5","0","0"
"other non-custodial sentences","0","0","0","0","0","0","1","1"
"custody","8","50","46","98","23","55","91","98"
"less than 14 days","2","13","3","6","0","0","2","2"
"14 to 44 days","1","6","5","11","5","12","1","1"
"45 to 89 days","2","13","3","6","2","5","2","2"
"90 days to less than 6 months","1","6","27","57","2","5","5","5"
"6 months to less than 1 year","2","13","7","15","7","17","9","10"
"1 year to less than 2 years","0","0","1","2","4","10","55","59"
"2 years or longer","0","0","0","0","3","7","17","18"
"unknown custody length","0","0","0","0","0","0","0","0"
