"living arrangements","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity","aboriginal identity"
"living arrangements","total aboriginal children","total aboriginal children","first nations children","first nations children","inuit children","inuit children","metis children","metis children","total non-aboriginal children","total non-aboriginal children"
"living arrangements","thousand","percent","thousand","percent","thousand","percent","thousand","percent","thousand","percent"
"total population aged 14 and under in private households","392.1","100.0","258.8","100.0","20.2","100.0","104.4","100.0","5,200.7","100.0"
"children of both parents","194.6","49.6","116.4","45.0","12.4","61.6","60.6","58.0","3,953.9","76.0"
"stepchildren","33.4","8.5","22.4","8.7","1.3","6.3","8.9","8.6","299.4","5.8"
"children of lone parents","134.9","34.4","96.0","37.1","5.2","25.8","31.1","29.8","902.4","17.4"
"grandchildren in skip-generation family","10.5","2.7","8.5","3.3","0.5","2.3","1.5","1.4","18.7","0.4"
"foster children","14.2","3.6","11.7","4.5","0.6","2.8","1.8","1.7","15.3","0.3"
"children living with other relatives ,","4.5","1.2","3.7","1.4","0.2","1.1","0.5","0.5","11.1","0.2"
