"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"corinthians","2014","serie a","20","2","3","0","-","-","0","0","1","0","24","2"
"corinthians","2015","serie a","31","5","2","0","-","-","3","0","10","3","46","8"
"corinthians","total","total","51","7","5","0","-","-","3","0","11","3","70","10"
"bordeaux","2015-16","ligue 1","12","1","1","1","0","0","0","0","-","-","13","2"
"bordeaux","2016-17","ligue 1","37","7","4","2","4","0","-","-","45","9","none","none"
"bordeaux","2017-18","ligue 1","35","12","1","0","0","0","2","0","-","-","38","12"
"bordeaux","total","total","84","20","6","3","4","0","2","0","-","-","96","23"
"barcelona","2018-19","la liga","12","1","5","2","-","-","2","1","0","0","19","4"
"career total","career total","career total","147","28","16","5","4","0","7","1","11","3","185","37"
