"","clients","clients","non-clients","non-clients","total","total"
"","n","%","n","%","n","%"
"total","15,790","100","26,855","100","42,645","100"
"age at release","","","","","",""
"29 & under","1,180","7.5","10,395","38.7","11,575","27.1"
"30 to 34","1,120","7.1","2,595","9.7","3,710","8.7"
"35 to 39","2,285","14.5","2,570","9.6","4,855","11.4"
"40 to 44","4,460","28.2","4,330","16.1","8,790","20.6"
"45 to 49","3,190","20.2","2,980","11.1","6,165","14.5"
"50 to 54","2,120","13.4","2,220","8.3","4,340","10.2"
"55 plus","1,440","9.1","1,765","6.6","3,200","7.5"
"sex","","","","","",""
"male","13,825","87.6","23,050","85.8","36,875","86.5"
"female","1,960","12.4","3,805","14.2","5,770","13.5"
"years of service","","","","","",""
"less than 2","220","1.4","7,770","28.9","7,985","18.7"
"2 to 9","1,755","11.1","5,235","19.5","6,990","16.4"
"10 to 19","2,595","16.4","2,195","8.2","4,785","11.2"
"20 plus","11,225","71.1","11,660","43.4","22,880","53.7"
"release type","","","","","",""
"involuntary","315","2.0","2,100","7.8","2,415","5.7"
"medical","7,325","46.4","1,820","6.8","9,145","21.4"
"voluntary","4,870","30.8","16,200","60.3","21,070","49.4"
"retirement age","970","6.1","1,440","5.4","2,405","5.6"
"service complete","2,255","14.3","5,210","19.4","7,460","17.5"
"unknown","55","0.3","90","0.3","140","0.3"
"rank at release","","","","","",""
"senior officer","1,310","8.3","2,445","9.1","3,755","8.8"
"junior officer","970","6.1","2,520","9.4","3,490","8.2"
"subordinate officer","85","0.5","1,530","5.7","1,615","3.8"
"senior ncm","6,200","39.3","5,840","21.7","12,040","28.2"
"junior ncm","6,440","40.8","5,935","22.1","12,375","29.0"
"private","625","4.0","3,845","14.3","4,470","10.5"
"recruit","155","1.0","4,745","17.7","4,900","11.5"
"environment at release","","","","","",""
"army","8,410","53.3","13,285","49.5","21,695","50.9"
"navy","2,195","13.9","4,980","18.5","7,175","16.8"
"air force","5,185","32.8","8,590","32.0","13,775","32.3"
"province in 2014","","","","","",""
"newfoundland and labrador","450","2.8","655","2.4","1,105","2.6"
"prince edward island","145","0.9","170","0.6","315","0.7"
"nova scotia","1,885","11.9","2,430","9.0","4,315","10.1"
"new brunswick","965","6.1","1,150","4.3","2,115","5.0"
"quebec","3,255","20.6","5,965","22.2","9,220","21.6"
"ontario","4,345","27.5","7,770","28.9","12,115","28.4"
"manitoba","475","3.0","730","2.7","1,205","2.8"
"saskatchewan","220","1.4","520","1.9","740","1.7"
"alberta","2,020","12.8","3,155","11.7","5,175","12.1"
"british columbia","1,465","9.3","2,495","9.3","3,955","9.3"
"yukon","10","0.1","30","0.1","40","0.1"
"northwest territories","20","0.1","45","0.2","65","0.2"
"nunavut","x","x","x","x","20","0.0"
"other","530","3.4","1,730","6.4","2,260","5.3"
