"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"savoia","1998-99","serie c1","8","0","0","0","0","0","8","0"
"savoia","1999-00","serie b","1","0","0","0","0","0","1","0"
"puteolana","1999-00","serie d","29","6","0","0","0","0","29","6"
"savoia","2000-01","serie c1","1","0","0","0","0","0","1","0"
"bari","2000-01","serie a","0","0","0","0","0","0","0","0"
"giugliano","2001-02","serie c2","31","0","0","0","0","0","31","0"
"giugliano","2002-03","serie c2","31","1","0","0","0","0","31","1"
"ternana","2003-04","serie b","20","0","0","0","0","0","20","0"
"ternana","2004-05","serie b","16","0","3","0","0","0","19","0"
"atalanta","2004-05","serie a","14","0","1","0","0","0","15","0"
"atalanta","2005-06","serie b","31","2","4","0","0","0","35","2"
"atalanta","2006-07","serie a","33","2","3","0","0","0","36","2"
"atalanta","total","total","78","4","8","0","0","0","86","4"
"palermo","2007-08","serie a","31","0","1","0","2","0","34","0"
"palermo","2008-09","serie a","31","3","0","0","0","0","31","3"
"palermo","2009-10","serie a","30","1","2","0","0","0","32","1"
"palermo","2010-11","serie a","35","2","5","1","6","1","46","4"
"palermo","2011-12","serie a","30","2","1","0","2","0","33","2"
"palermo","2012-13","serie a","1","0","0","0","0","0","1","0"
"palermo","total","total","158","8","9","1","10","1","177","10"
"fiorentina","2012-13","serie a","24","1","3","0","0","0","27","1"
"atalanta","2013-14","serie a","19","1","2","0","0","0","21","1"
"atalanta","2014-15","serie a","20","1","2","0","0","0","22","1"
"atalanta","2015-16","serie a","18","0","1","0","0","0","19","0"
"atalanta","2016-17","serie a","3","0","1","0","0","0","4","0"
"atalanta","total","total","60","2","6","0","0","0","66","2"
"career total","career total","career total","457","22","29","1","10","1","496","24"
