"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"milton keynes dons","2008-09","league one","7","1","0","0","0","0","0","0","7","1"
"milton keynes dons","2009-10","league one","2","1","-","-","0","0","0","0","2","1"
"milton keynes dons","2010-11","league one","29","9","1","0","0","0","2","1","32","10"
"milton keynes dons","2011-12","league one","43","6","4","2","3","2","3","1","53","11"
"milton keynes dons","2012-13","league one","34","7","2","0","2","0","1","0","39","7"
"milton keynes dons","2013-14","league one","32","1","3","0","0","0","1","0","36","1"
"milton keynes dons","2014-15","league one","42","8","2","0","4","1","1","1","49","10"
"milton keynes dons","2015-16","championship","22","2","2","0","2","0","-","-","26","2"
"milton keynes dons","2016-17","league one","20","2","3","1","1","0","3","0","27","3"
"milton keynes dons","total","total","231","37","17","3","12","3","11","3","271","46"
"crawley town","2009-10","conference premier","3","0","-","-","3","0","none","none","none","none"
"forest green rovers","2009-10","conference premier","24","6","4","0","-","-","1","0","29","6"
"darlington","2010-11","conference premier","5","1","-","-","5","1","none","none","none","none"
"northampton town","2017-18","league one","29","2","1","0","0","0","2","0","32","2"
"northampton town","2018-19","league two","34","6","1","0","0","0","5","0","40","6"
"northampton town","total","total","63","8","2","0","0","0","7","0","72","8"
"career total","career total","career total","326","52","23","3","12","3","19","3","380","61"
