"club","season","league","league","league","other1","other1","cup","cup","league cup","league cup","continental2","continental2","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"kelantan tnb","2004","malaysia premier league","??","2","-","-","none","none","none","none","-","-","??","2"
"kelantan tnb","total","total","??","2","-","-","none","none","none","none","-","-","??","2"
"kelantan","2005","malaysia fam league","??","??","-","-","6","2","none","none","-","-","6","2"
"kelantan","total","total","??","??","-","-","6","2","none","none","-","-","6","2"
"kelantan","2005-06","malaysia premier league","21","4","-","-","none","none","none","none","-","-","21","4"
"kelantan","total","total","21","4","-","-","none","none","none","none","-","-","21","4"
"pdrm fa","2006-07","malaysia premier league","20","2","-","-","none","none","none","none","-","-","20","2"
"pdrm fa","total","total","20","2","-","-","none","none","none","none","-","-","20","2"
"kelantan","2007-08","malaysia premier league","24","9","-","-","2","0","none","none","-","-","26","9"
"kelantan","2009","malaysia super league","26","6","-","-","8","1","11","0","-","-","45","7"
"kelantan","2010","malaysia super league","26","6","-","-","2","0","11","4","-","-","39","10"
"kelantan","2011","malaysia super league","24","11","1","1","7","3","8","4","-","-","40","19"
"kelantan","2012","malaysia super league","22","8","1","0","6","2","10","3","7","1","46","14"
"kelantan","2013","malaysia super league","22","6","1","0","6","1","11","5","5","4","45","16"
"kelantan","2014","malaysia super league","19","3","-","-","5","1","8","2","6","2","38","8"
"kelantan","2015","malaysia super league","21","3","-","-","6","1","5","1","-","-","32","5"
"kelantan","2016","malaysia super league","19","2","-","-","2","0","5","2","-","-","26","4"
"kelantan","2017","malaysia super league","16","1","-","-","0","0","2","0","-","-","18","1"
"kelantan","2018","malaysia super league","2","0","-","-","2","0","0","0","-","-","4","0"
"kelantan","total","total","221","55","3","1","46","9","71","21","18","7","359","95"
"perlis","2019","malaysia premier league","1","0","-","-","0","0","0","0","-","-","1","0"
"perlis","total","total","1","0","-","-","0","0","0","0","-","-","1","0"
"kelantan","2019","malaysia premier league","0","0","-","-","0","0","0","0","-","-","0","0"
"kelantan","total","total","0","0","-","-","0","0","0","0","-","-","0","0"
"career total","career total","career total","263","63","3","1","52","11","71","21","18","7","407","105"
