"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"anderlecht","2003-04","belgian first division","29","2","5","0","-","-","9","0","1","0","44","2"
"anderlecht","2004-05","belgian first division","32","2","1","0","-","-","7","0","-","-","40","2"
"anderlecht","2005-06","belgian first division","12","1","1","0","-","-","6","1","-","-","19","2"
"anderlecht","total","total","73","5","7","0","-","-","22","1","1","0","103","6"
"hamburger sv","2006-07","bundesliga","6","0","0","0","2","1","5","0","-","-","13","1"
"hamburger sv","2007-08","bundesliga","22","1","4","0","-","-","11","2","-","-","37","3"
"hamburger sv","2008-09","bundesliga","1","0","0","0","-","-","0","0","-","-","1","0"
"hamburger sv","total","total","29","1","4","0","2","1","16","2","-","-","51","4"
"manchester city","2008-09","premier league","34","1","1","0","1","0","9","0","-","-","45","1"
"manchester city","2009-10","premier league","25","2","3","0","4","0","-","-","32","2","none","none"
"manchester city","2010-11","premier league","37","0","5","0","0","0","8","0","-","-","50","0"
"manchester city","2011-12","premier league","31","3","1","0","0","0","9","0","1","0","42","3"
"manchester city","2012-13","premier league","26","1","4","0","0","0","6","0","1","0","37","1"
"manchester city","2013-14","premier league","28","4","2","0","3","0","4","1","-","-","37","5"
"manchester city","2014-15","premier league","25","0","1","0","0","0","7","0","0","0","33","0"
"manchester city","2015-16","premier league","14","2","0","0","1","0","7","0","-","-","22","2"
"manchester city","2016-17","premier league","11","3","2","0","2","0","0","0","-","-","15","3"
"manchester city","2017-18","premier league","17","1","1","0","1","1","2","0","-","-","21","2"
"manchester city","2018-19","premier league","14","0","0","0","3","0","4","0","1","0","22","0"
"manchester city","total","total","262","17","20","0","15","1","56","1","3","0","356","19"
"career total","career total","career total","364","23","31","0","17","2","94","4","4","0","510","29"
