"cause","total canada","total canada","total canada","first nations living on reserve","first nations living on reserve","first nations living on reserve","first nations living off reserve","first nations living off reserve","first nations living off reserve","metis","metis","metis","inuit living in inuit nunangat","inuit living in inuit nunangat","inuit living in inuit nunangat","non-aboriginal population","non-aboriginal population","non-aboriginal population"
"cause","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval"
"cause","ashr","from","to","ashr","from","to","ashr","from","to","ashr","from","to","ashr","from","to","ashr","from","to"
"all causes combined","643","638","649","1,806","1,776","1,837","1,131","1,088","1,175","977","936","1,020","1,866","1,780","1,955","497","492","502"
"all causes combined","489","485","494","1,059","1,036","1,083","741","707","777","647","613","682","1,089","1,024","1,157","417","413","422"
"pregnancy, childbirth and the puerperium","153","150","155","737","718","757","387","363","414","326","303","352","775","720","833","79","77","81"
"diseases of digestive system","81","79","83","136","128","145","83","72","95","100","87","114","119","99","143","75","73","77"
"injuries","105","103","107","259","248","271","174","157","191","151","136","169","282","250","318","85","83","87"
"unintentional injuries","69","67","71","141","133","150","92","81","105","95","83","109","138","116","164","60","58","62"
"intentional injuries","22","21","23","94","88","102","62","52","73","44","36","54","132","111","157","12","12","13"
"assaults","10","10","11","52","47","57","36","29","45","25","19","33","31","21","44","5","5","6"
"intentional self-harm","12","11","12","42","38","47","26","20","33","20","14","27","101","83","124","7","7","8"
"diseases of respiratory system","42","41","44","99","92","107","74","64","86","61","52","73","82","66","102","35","34","36"
"diseases of circulatory system","8","8","9","13","11","16","9","6","14","5","3","9","x","x","x","8","7","9"
"mental and behavioural disorders","61","60","63","147","139","156","120","107","135","91","79","105","214","186","246","49","47","50"
"endocrine, nutritional and metabolic diseases","16","15","17","28","25","32","23","18","30","14","10","20","x","x","x","15","14","16"
"diseases of genitourinary system","21","20","22","42","38","47","36","29","45","36","28","45","32","22","46","18","18","19"
"diseases of musculoskeletal system and connective tissue","20","19","21","22","19","26","25","19","32","21","16","29","16","10","26","20","19","21"
