"","stem graduates","stem graduates","stem graduates","stem graduates","non-stem graduates"
"","all stem fields","science and technology","engineering","computer science and mathematics","non-stem graduates"
"","percent","percent","percent","percent","percent"
"all degree levels","","","","",""
"observed","-26.8","-25.2","-38.5","-28.6","-34.1"
"adjusted, model 1","-24.1","-23.2","-28.2","-16.3","-26.9"
"adjusted, model 2","-13.0","-15.8","-14.6","-8.3","-14.1"
"bachelor's degree","","","","",""
"observed","-31.9","-29.7","-43.4","-33.4","-35.1"
"adjusted, model 1","-27.5","-26.5","-31.5","-18.0","-27.3"
"adjusted, model 2","-15.6","-17.1","-17.4","-10.6","-13.9"
"master's degree","","","","",""
"observed","-20.1","-30.1","-30.6","-21.7","-37.9"
"adjusted, model 1","-21.3","-25.8","-20.8","-13.4","-28.4"
"adjusted, model 2","-10.9","-18.5","-7.7","-5.1","-17.0"
"doctorate","","","","",""
"observed","-19.3","-23.5","-24.1","-11.4","-21.6"
"adjusted, model 1","-9.3","-8.8","-12.4","-9.0","-2.7"
"adjusted, model 2","-4.9","-6.9","-5.9","-6.3","4.3"
