"socio-demographic or economic characteristic","police","school system","banks","justice system and courts","media","federal parliament","major corporations"
"socio-demographic or economic characteristic","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"sex","","","","","","",""
"male","0.74","0.60","0.56","0.56","0.40","0.35","0.28"
"female","0.79","0.62","0.62","0.58","0.40","0.38","0.31"
"age group","","","","","","",""
"15 to 24 years","0.76","0.63","0.67","0.63","0.32","0.49","0.31"
"25 to 34 years","0.72","0.60","0.50","0.52","0.36","0.34","0.24"
"35 to 44 years","0.77","0.60","0.52","0.56","0.40","0.34","0.27"
"45 to 54 years","0.75","0.57","0.56","0.57","0.41","0.34","0.27"
"55 to 64 years","0.76","0.60","0.58","0.56","0.43","0.34","0.30"
"65 to 74 years","0.79","0.64","0.67","0.58","0.45","0.37","0.34"
"75 years and older","0.85","0.74","0.79","0.65","0.56","0.42","0.45"
"marital status","","","","","","",""
"married/common law","0.78","0.62","0.59","0.59","0.40","0.38","0.30"
"not married or in a common-law relationship","0.73","0.60","0.58","0.55","0.41","0.35","0.28"
"level of education","","","","","","",""
"university degree","0.79","0.65","0.59","0.66","0.41","0.38","0.28"
"less than university degree","0.75","0.59","0.59","0.54","0.40","0.36","0.30"
"main activity in the last 12 months","","","","","","",""
"working at a paid job or business","0.76","0.60","0.58","0.56","0.40","0.35","0.28"
"other","0.77","0.62","0.60","0.60","0.41","0.39","0.31"
"household income","","","","","","",""
"$80,000 or more","0.78","0.63","0.60","0.59","0.41","0.37","0.31"
"less than $80,000","0.74","0.59","0.57","0.55","0.40","0.37","0.28"
"visible minority","","","","","","",""
"visible minority","0.71","0.66","0.65","0.60","0.44","0.46","0.36"
"non-visible minority","0.77","0.60","0.58","0.57","0.39","0.35","0.28"
"aboriginal identity","","","","","","",""
"aboriginal","0.72","0.58","0.59","0.52","0.37","0.35","0.27"
"non-aboriginal","0.76","0.61","0.59","0.57","0.40","0.37","0.29"
"immigrant status","","","","","","",""
"non-immigrant","0.75","0.60","0.58","0.55","0.40","0.35","0.29"
"longer-term immigrant","0.76","0.64","0.58","0.63","0.40","0.41","0.27"
"recent immigrant","0.83","0.69","0.64","0.70","0.47","0.51","0.37"
"immigrant, length of time in canada unknown","0.79","0.64","0.62","0.62","0.37","0.38","0.37"
"mother tongue","","","","","","",""
"official language","0.75","0.60","0.58","0.56","0.39","0.35","0.28"
"non-official language only","0.79","0.66","0.64","0.65","0.46","0.43","0.34"
"province of residence","","","","","","",""
"newfoundland and labrador","0.84","0.73","0.67","0.62","0.51","0.40","0.41"
"prince edward island","0.74","0.67","0.58","0.63","0.42","0.28","0.34"
"nova scotia","0.78","0.59","0.63","0.60","0.44","0.31","0.29"
"new brunswick","0.80","0.69","0.63","0.65","0.49","0.35","0.35"
"quebec","0.74","0.61","0.54","0.54","0.43","0.39","0.27"
"ontario","0.77","0.61","0.60","0.62","0.39","0.37","0.29"
"manitoba","0.78","0.65","0.63","0.51","0.40","0.37","0.36"
"saskatchewan","0.79","0.66","0.64","0.61","0.43","0.38","0.33"
"alberta","0.78","0.63","0.61","0.57","0.36","0.38","0.30"
"british columbia","0.73","0.57","0.57","0.49","0.38","0.32","0.28"
"total","0.76","0.61","0.59","0.57","0.40","0.37","0.29"
