"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"messina","1990-91","serie b","1","0","0","0","-","-","1","0","none","none"
"tor di quinto","1991-92","serie d","0","0","0","0","-","-","0","0","none","none"
"tor di quinto","1992-93","serie d","12","0","0","0","-","-","12","0","none","none"
"tor di quinto","total","total","12","0","0","0","-","-","12","0","none","none"
"marsala","1993-94","serie d","25","4","0","0","-","-","25","4","none","none"
"trapani","1994-95","serie c","13","2","0","0","-","-","13","2","none","none"
"perugia","1995-96","serie b","1","0","0","0","-","-","1","0","none","none"
"perugia","1996-97","serie a","14","2","0","0","-","-","14","2","none","none"
"perugia","1997-98","serie b","33","5","2","0","-","-","35","5","none","none"
"perugia","total","total","47","7","2","0","-","-","49","7","none","none"
"carpi","1996-97","serie c","18","7","0","0","-","-","18","7","none","none"
"everton","1998-99","premier league","27","1","6","1","-","-","33","2","none","none"
"perugia","1999-2000","serie a","21","3","2","0","1","0","-","-","24","3"
"perugia","2000-01","serie a","30","12","2","0","1","0","-","-","33","12"
"perugia","total","total","51","15","4","0","2","0","-","-","57","15"
"internazionale","2001-02","serie a","23","1","1","0","8","1","-","-","32","2"
"internazionale","2002-03","serie a","20","1","0","0","13","0","-","-","33","1"
"internazionale","2003-04","serie a","14","3","0","0","4","0","-","-","18","3"
"internazionale","2004-05","serie a","26","0","5","0","9","0","-","-","40","0"
"internazionale","2005-06","serie a","22","2","6","0","10","0","1","0","39","2"
"internazionale","2006-07","serie a","28","10","2","0","6","0","1","0","39","10"
"internazionale","2007-08","serie a","23","1","4","0","3","0","1","0","33","1"
"internazionale","2008-09","serie a","8","0","2","0","5","1","0","0","15","1"
"internazionale","2009-10","serie a","12","0","4","0","4","0","0","0","20","0"
"internazionale","2010-11","serie a","8","0","1","0","1","0","1","0","11","0"
"internazionale","total","total","184","18","25","0","63","2","4","0","276","20"
"chennaiyin","2014","indian super league","7","0","0","0","-","-","7","0","none","none"
"career total","career total","career total","385","55","37","1","65","2","4","0","491","58"
