"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico paranaense","2013","serie a","0","0","0","0","-","-","21","2","21","2"
"joinville","2013","serie b","9","0","0","0","-","-","0","0","9","0"
"atletico paranaense","2014","serie a","15","1","0","0","0","0","10","3","25","4"
"atletico paranaense","2015","serie a","30","3","0","0","4","0","6","1","40","4"
"atletico paranaense","2016","serie a","30","6","7","2","-","-","7","1","44","9"
"atletico paranaense","total","total","75","10","7","2","4","0","44","7","130","19"
"zenit st. petersburg","2016-17","russian premier league","8","0","-","-","1","0","-","-","9","0"
"zenit st. petersburg","2017-18","russian premier league","1","0","-","-","1","0","-","-","2","0"
"zenit st. petersburg","2018-19","russian premier league","10","1","2","0","10","0","-","-","22","1"
"zenit st. petersburg","total","total","19","1","2","0","12","0","0","0","33","1"
"saint-etienne","2017-18","ligue 1","14","3","2","0","-","-","1","0","17","3"
"career total","career total","career total","117","14","11","2","16","0","45","7","189","23"
