"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"southend united","1933-34","third division south","19","0","3","0","-","-","22","0"
"brentford","1933-34","second division","18","0","-","-","18","0","none","none"
"brentford","1934-35","second division","41","1","1","0","-","-","42","1"
"brentford","1935-36","first division","23","0","0","0","-","-","23","0"
"brentford","1936-37","first division","26","0","2","0","-","-","28","0"
"brentford","1937-38","first division","31","0","4","0","1","0","36","0"
"brentford","1938-39","first division","7","0","0","0","-","-","7","0"
"brentford","total","total","146","1","7","0","1","0","154","1"
"career total","career total","career total","165","1","10","0","1","0","176","1"
