"rank","institution","2015","2016","2017","% change 2016-17"
"","all institutions","68551","71795","75175","4.7"
"","leading 30 institutions","28343","30157","31548","4.6"
"1","johns hopkins u.a","2306","2431","2562","5.4"
"2","u. michigan, ann arbor","1369","1436","1530","6.5"
"3","u. california, san francisco","1127","1294","1409","8.9"
"4","u. pennsylvania","864","1296","1374","6"
"5","u. washington, seattle","1181","1278","1348","5.5"
"6","u. wisconsin-madison","1069","1158","1193","3.1"
"7","u. california, san diego","1101","1087","1133","4.3"
"8","duke u","1037","1056","1127","6.7"
"9","harvard u","1014","1077","1123","4.3"
"10","stanford u","1023","1066","1110","4.1"
"11","u. north carolina, chapel hill","967","1045","1102","5.4"
"12","u. california, los angeles","1021","1038","1077","3.8"
"13","cornell u","954","974","984","1.1"
"14","massachusetts institute of technology","931","946","952","0.6"
"15","yale u","803","882","951","7.9"
"16","u. pittsburgh, pittsburgh","861","890","940","5.6"
"17","u. minnesota, twin cities","881","910","922","1.3"
"18","new york u","602","810","918","13.3"
"19","texas a&m u., college station and health science center","867","893","905","1.4"
"20","columbia u. in the city of new york","868","837","893","6.7"
"21","u. texas m. d. anderson cancer center","833","852","888","4.2"
"22","ohio state u","818","818","864","5.6"
"23","pennsylvania state u., university park and hershey medical center","791","826","855","3.5"
"24","georgia institute of technology","765","791","804","1.7"
"25","u. florida","740","791","801","1.3"
"26","u. california, berkeley","789","774","771","-0.4"
"27","u. southern california","691","703","764","8.7"
"28","washington u., saint louis","694","741","754","1.8"
"29","northwestern u","656","713","752","5.4"
"30","u. california, davis","721","742","738","-0.5"
