"sector","black male workers","black male workers","black male workers","black male workers","other male workers","other male workers","other male workers","other male workers"
"sector","immigrant","second generation","third generation or more","total","immigrant","second generation","third generation or more","total"
"sector","percent","percent","percent","percent","percent","percent","percent","percent"
"agriculture, forestry, fishing and hunting","0.7","0.3","1.3","0.8","1.2","1.8","3.7","2.8"
"mining, quarrying, and oil and gas extraction","1.3","0.7","2.3","1.2","1.2","1.7","3.6","2.7"
"utilities","0.5","0.6","0.6","0.5","0.7","1.1","1.5","1.2"
"construction","8.0","7.5","13.7","8.1","10.2","12.8","14.9","13.4"
"manufacturing","24.2","17.3","29.0","23.1","27.4","28.1","36.6","32.9"
"wholesale trade","4.5","4.4","3.4","4.3","4.9","5.3","5.0","5.0"
"retail trade","7.1","9.9","8.6","7.9","8.6","8.7","8.3","8.4"
"transportation and warehousing","12.2","8.6","8.3","11.1","9.2","6.2","6.6","7.1"
"information and cultural industries","2.8","5.4","2.8","3.3","3.0","3.6","2.5","2.8"
"finance and insurance","4.3","6.2","2.7","4.6","5.1","5.3","2.8","3.7"
"real estate and rental and leasing","1.7","1.9","2.0","1.7","2.2","2.3","1.6","1.8"
"professional, scientific and technical services","6.6","8.4","5.1","6.9","11.2","9.9","6.8","8.4"
"administrative and support, waste management and remediation services","9.9","8.8","9.0","9.7","4.8","4.3","4.4","4.5"
"educational services","4.3","4.3","4.2","4.5","4.0","5.4","4.5","4.6"
"health care and social assistance","7.5","5.7","4.3","6.9","4.7","4.5","3.9","4.1"
"arts, entertainment and recreation","1.1","3.4","2.6","1.7","1.1","2.0","1.8","1.7"
"accommodation and food services","3.9","5.8","6.1","4.5","6.7","3.8","3.0","4.2"
"other services","4.3","3.3","3.4","4.1","3.6","3.4","3.9","3.8"
"public administration","5.6","6.8","8.4","5.8","3.5","7.3","8.3","6.9"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
