"","revised average level","previously-published average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"2016","","",""
"compensation of employees","1,026,483","1,026,483","0"
"gross operating surplus","526,024","524,953","1,071"
"gross mixed income","244,403","244,722","-319"
"taxes less subsidies on production","90,516","90,686","-170"
"taxes less subsidies on products and imports","139,429","140,222","-793"
"gdp at market prices","2,025,535","2,028,223","-2,688"
"2017","","",""
"compensation of employees","1,069,956","1,070,831","-875"
"gross operating surplus","573,257","572,951","306"
"gross mixed income","256,757","254,554","2,203"
"taxes less subsidies on production","95,563","96,024","-461"
"taxes less subsidies on products and imports","145,647","147,101","-1,454"
"gdp at market prices","2,141,107","2,141,508","-401"
"2018","","",""
"compensation of employees","1,120,520","1,119,903","617"
"gross operating surplus","590,510","583,967","6,543"
"gross mixed income","265,147","265,036","111"
"taxes less subsidies on production","98,698","98,493","205"
"taxes less subsidies on products and imports","148,921","152,208","-3,287"
"gdp at market prices","2,223,856","2,219,061","4,795"
"2016 to 2018 average","","",""
"compensation of employees","1,072,320","1,072,406","-86"
"gross operating surplus","563,264","560,624","2,640"
"gross mixed income","255,436","254,771","665"
"taxes less subsidies on production","94,926","95,068","-142"
"taxes less subsidies on products and imports","144,666","146,510","-1,845"
"gdp at market prices","2,130,166","2,129,597","569"
