"","female","female rank","male","male rank"
"","percent","number","percent","number"
"proportion with a university degree","100","..","100",".."
"education","19","1","8","4"
"business, management, marketing and related support services","15","2","21","1"
"health professions and related programs","13","3","6","5"
"social sciences","7","4","8","3"
"psychology","5","5","2","13"
"liberal arts and sciences, general studies and humanities","4","6","2","12"
"engineering","4","7","18","2"
"visual and performing arts","3","8","2","10"
"biological and biomedical sciences","3","9","3","9"
"public administration and social service professions","3","10","1","23"
"% represented by top 10 female fields of study","76","..","71",".."
