"calendar year","vital statistics","t1ff estimates","t1ff / vital statistics ratio"
"calendar year","number","number","ratio"
"1991","402,533","412,577","1.02"
"1992","398,643","402,927","1.01"
"1993","388,394","367,551","0.95"
"1994","385,114","362,704","0.94"
"1995","378,016","354,549","0.94"
"1996","366,200","342,593","0.94"
"1997","348,598","323,335","0.93"
"1998","342,418","312,984","0.91"
"1999","337,249","304,402","0.90"
"2000","327,882","297,422","0.91"
"2001","333,744","298,312","0.89"
"2002","328,802","291,549","0.89"
"2003","335,202","292,372","0.87"
"2004","337,072","306,977","0.91"
"2005","342,176","330,495","0.97"
"2006","354,617","347,806","0.98"
"2007","367,864","356,754","0.97"
"2008","377,886","364,743","0.97"
"2009","380,863","367,030","0.96"
"2010","377,213","366,916","0.97"
"2011","377,636","368,168","0.97"
"2012","381,869","373,841","0.98"
"2013","380,323","372,333","0.98"
