"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cobh ramblers","2003","loi first division","26","2","0","0","0","0","0","0","26","2"
"cobh ramblers","2004","loi first division","23","2","0","0","0","0","0","0","23","2"
"cobh ramblers","2005","loi first division","5","0","0","0","0","0","0","0","5","0"
"cobh ramblers","2006","loi first division","21","5","0","0","0","0","2","0","23","5"
"cobh ramblers","total","none","75","9","0","0","0","0","2","0","77","9"
"cork city","2007","loi premier division","7","1","0","0","0","0","2","0","9","1"
"cork city","2008","loi premier division","22","1","0","0","0","0","1","1","23","2"
"cork city","total","none","29","2","0","0","0","0","3","1","32","3"
"stevenage","2008-09","conference premier","14","1","0","0","0","0","6","0","20","1"
"stevenage","2009-10","conference premier","21","0","1","0","0","0","3","0","25","0"
"stevenage","2010-11","league two","5","0","0","0","1","1","3","0","9","1"
"stevenage","2011-12","league one","0","0","0","0","0","0","0","0","0","0"
"stevenage","total","none","40","1","1","0","1","1","12","0","54","2"
"aldershot town","2011-12","league two","3","0","0","0","0","0","0","0","3","0"
"port vale","2012-13","league two","3","0","0","0","0","0","0","0","3","0"
"macclesfield town","2012-13","conference premier","0","0","0","0","0","0","0","0","0","0"
"woking","2013-14","conference premier","3","0","0","0","0","0","0","0","3","0"
"cork city","2014","loi premier division","4","0","0","0","1","0","0","0","5","0"
"cobh ramblers","2015","loi first division","1","0","0","0","0","0","0","0","1","0"
"cobh ramblers","2016","loi first division","7","0","0","0","0","0","0","0","7","0"
"cobh ramblers","2017","loi first division","0","0","0","0","0","0","0","0","0","0"
"cobh ramblers","total","none","8","0","0","0","0","0","0","0","8","0"
"avondale united","2017","munster senior league","0","0","0","0","1","0","0","0","1","0"
"career totals","career totals","career totals","165","12","1","0","3","1","17","1","186","14"
