"type of offence","male","male","male","male","male","female","female","female","female","female","total youth"
"type of offence","12 to 15 years of age","12 to 15 years of age","16 to 17 years of age","16 to 17 years of age","total males","12 to 15 years of age","12 to 15 years of age","16 to 17 years of age","16 to 17 years of age","total females","total youth"
"type of offence","number","percent","number","percent","number","number","percent","number","percent","number","number"
"violent offences","2,871","44","3,660","56","6,531","847","44","1,062","56","1,909","8,440"
"homicide","6","35","11","65","17","1","50","1","50","2","19"
"attempted murder","3","21","11","79","14","2","67","1","33","3","17"
"robbery","417","36","745","64","1,162","43","38","69","62","112","1,274"
"sexual assault","301","61","193","39","494","10","71","4","29","14","508"
"other sexual offences","363","65","195","35","558","17","71","7","29","24","582"
"major assault","527","40","777","60","1,304","172","39","274","61","446","1,750"
"common assault","601","40","894","60","1,495","369","43","497","57","866","2,361"
"uttering threats","537","44","672","56","1,209","191","52","175","48","366","1,575"
"criminal harassment","51","44","64","56","115","33","67","16","33","49","164"
"other crimes against persons","65","40","98","60","163","9","33","18","67","27","190"
"property offences","2,806","40","4,273","60","7,079","964","45","1,180","55","2,144","9,223"
"theft","839","39","1,325","61","2,164","458","45","560","55","1,018","3,182"
"break and enter","803","45","999","55","1,802","140","54","117","46","257","2,059"
"fraud","50","22","177","78","227","17","17","86","83","103","330"
"mischief","564","39","866","61","1,430","161","46","188","54","349","1,779"
"possess stolen property","456","37","786","63","1,242","181","45","221","55","402","1,644"
"other property offences","94","44","120","56","214","7","47","8","53","15","229"
"administration of justice offences","615","30","1,446","70","2,061","318","37","549","63","867","2,928"
"fail to appear","22","21","85","79","107","24","35","45","65","69","176"
"breach of probation","11","35","20","65","31","5","50","5","50","10","41"
"unlawfully at large","61","34","119","66","180","8","36","14","64","22","202"
"fail to comply with order","412","31","905","69","1,317","215","38","357","62","572","1,889"
"other administration of justice offences","109","26","317","74","426","66","34","128","66","194","620"
"other criminal code offences","527","35","980","65","1,507","75","37","130","63","205","1,712"
"weapons","354","35","659","65","1,013","48","42","67","58","115","1,128"
"prostitution","1","11","8","89","9","0","0","7","100","7","16"
"disturbing the peace","11","31","25","69","36","5","29","12","71","17","53"
"residual criminal code offences","161","36","288","64","449","22","33","44","67","66","515"
"criminal code","6,819","40","10,359","60","17,178","2,204","43","2,921","57","5,125","22,303"
"criminal code traffic offences","60","15","329","85","389","15","16","77","84","92","481"
"impaired driving","11","7","150","93","161","5","9","51","91","56","217"
"other criminal code traffic offences","49","21","179","79","228","10","28","26","72","36","264"
"total criminal code offences","6,879","39","10,688","61","17,567","2,219","43","2,998","57","5,217","22,784"
"other federal statute offences","1,101","26","3,139","74","4,240","407","36","719","64","1,126","5,366"
"drug possession","331","23","1,079","77","1,410","114","42","155","58","269","1,679"
"other drug offences","174","25","530","75","704","32","30","76","70","108","812"
"youth criminal justice act","560","28","1,465","72","2,025","242","34","473","66","715","2,740"
"residual federal statute offences","36","36","65","64","101","19","56","15","44","34","135"
"total offences","7,980","37","13,827","63","21,807","2,626","41","3,717","59","6,343","28,150"
