"year","team","g","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","g","gs","comp","att","pct","yds","y/a","td","int","rtg","att","yds","avg","td","sack","yds","fum","lost"
"2009","det","10","10","201","377","53.3","2,267","6.0","13","20","61.0","20","108","5.4","2","24","169","4","1"
"2010","det","3","3","57","96","59.4","535","5.6","6","1","91.3","4","11","2.8","1","4","36","2","1"
"2011","det","16","16","421","663","63.5","5,038","7.6","41","16","97.2","22","78","3.5","0","36","257","5","1"
"2012","det","16","16","435","727","59.8","4,967","6.8","20","17","79.8","35","126","3.6","4","29","212","6","4"
"2013","det","16","16","371","634","58.5","4,650","7.3","29","19","84.2","37","69","1.9","2","23","168","12","4"
"2014","det","16","16","363","602","60.3","4,257","7.1","22","12","85.7","43","93","2.2","2","45","254","8","3"
"2015","det","16","16","398","592","67.2","4,262","7.2","32","13","97.0","44","159","3.6","1","44","251","4","2"
"2016","det","16","16","388","594","65.3","4,327","7.3","24","10","93.3","37","207","5.6","2","37","216","3","2"
"2017","det","16","16","371","565","65.7","4,446","7.9","29","10","99.3","29","98","3.4","0","47","283","11","7"
"2018","det","16","16","367","555","66.1","3,777","6.8","21","11","89.9","25","71","2.8","0","40","255","6","4"
"none","total","141","141","3,372","5,405","62.4","38,526","7.1","237","129","88.4","296","1,020","3.4","14","329","2,105","61","29"
