"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"quilmes","2008-09","primera b nacional","2","0","0","0","-","-","0","0","2","0"
"universitario de sucre","2010","primera division","4","0","-","-","3","0","0","0","7","0"
"universitario de sucre","2011","primera division","18","3","-","-","0","0","18","3","none","none"
"universitario de sucre","total","total","22","3","-","-","3","0","0","0","25","3"
"santamarina","2011-12","torneo argentino a","18","5","1","1","-","-","0","0","19","6"
"santamarina","2012-13","torneo argentino a","21","7","0","0","-","-","5","4","26","11"
"santamarina","2013-14","torneo argentino a","17","3","1","0","-","-","0","0","18","3"
"santamarina","2014","primera b nacional","13","4","0","0","-","-","0","0","13","4"
"santamarina","2015","primera b nacional","32","5","1","1","-","-","4","1","37","7"
"santamarina","total","total","101","24","3","2","-","-","9","5","113","31"
"gimnasia y esgrima","2016","primera b nacional","14","1","0","0","-","-","0","0","14","1"
"santamarina","2016-17","primera b nacional","32","12","2","2","-","-","0","0","34","14"
"santamarina","2017-18","primera b nacional","13","7","0","0","-","-","0","0","13","7"
"santamarina","2018-19","primera b nacional","9","0","0","0","-","-","0","0","9","0"
"santamarina","total","total","54","19","2","2","-","-","0","0","56","21"
"career total","career total","career total","193","47","5","4","3","0","9","5","210","56"
