"year","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","sales"
"year","album details","us","us heat","jpn","fin","fra","ger","nld","swe","swi","uk","sales"
"1998","amongst the catacombs of nephren-ka released: april 28, 1998 label: relapse formats: cd, lp","-","-","-","-","-","-","-","-","-","-","none"
"2000","black seeds of vengeance released: september 5, 2000 label: relapse formats: cd, lp","-","-","-","-","-","-","-","-","-","-","none"
"2002","in their darkened shrines released: august 20, 2002 label: relapse formats: cd, lp","-","-","-","-","-","-","-","-","-","179","none"
"2005","annihilation of the wicked released: may 24, 2005 label: relapse formats: cd, lp","-","12","-","-","-","-","-","27","-","186","us: 5,000"
"2007","ithyphallic released: july 17, 2007 label: nuclear blast formats: cd, lp","162","4","275","13","113","76","97","-","-","139","us: 4,000"
"2009","those whom the gods detest released: november 3, 2009 label: nuclear blast formats: cd, lp","160","3","292","35","149","-","-","-","-","-","us: 3,500"
"2012","at the gate of sethu released: july 3, 2012 label: nuclear blast formats: cd, lp","131","2","-","37","182","27","-","41","61","196","us: 8,000"
"2015","what should not be unearthed released: august 28, 2015 label: nuclear blast formats: cd, lp","-","2","-","24","132","73","59","-","71","-","us: 8,000"
""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country",""-" denotes releases that did not chart or were not released in that country"
