"source of funds and r&d field","all institutions","survey population","survey population"
"source of funds and r&d field","all institutions","short form","standard form"
"all r&d expenditures","71971736","138428","71833308"
"by source of funds","by source of funds","by source of funds","by source of funds"
"federal government","38860649","67107","38793542"
"state and local government","4033779","8499","4025280"
"institution funds","18014538","39576","17974962"
"institutionally financed research","11505260","34173","11471087"
"cost sharing","1432876","2043","1430833"
"unrecovered indirect costs","5076402","3360","5073042"
"business","4215883","5320","4210563"
"nonprofit organizations","4628526","13726","4614800"
"all other sources","2218361","4200","2214161"
"by r&d field","by r&d field","by r&d field","by r&d field"
"science","56392202","101540","56290662"
"computer and information sciencesa","2082275","4391","2077884"
"geosciences, atmospheric, and ocean sciencesa","3095606","7832","3087774"
"life sciences","40933821","45971","40887850"
"mathematics and statisticsa","686061","4400","681661"
"physical sciences","4913289","19724","4893565"
"psychology","1222859","4138","1218721"
"social sciences","2374649","8078","2366571"
"sciences, nec","1083642","7006","1076636"
"engineering","11394686","12959","11381727"
"non-s&e","4184848","23929","4160919"
