"province or territory","homicide","homicide","homicide","attempted murder","attempted murder","attempted murder","major assault","major assault","major assault","robbery","robbery","robbery"
"province or territory","number","rate","percent change in rate 2017 to 2018","number","rate","percent change in rate 2017 to 2018","number","rate","percent change in rate 2017 to 2018","number","rate","percent change in rate 2017 to 2018"
"newfoundland and labrador","2","0.38","..","3","0.57","..","613","117","-6","214","41","16"
"prince edward island","0","0.00","..","1","0.65","..","106","69","-18","21","14","15"
"nova scotia","11","1.15","-48","20","2.08","-27","1,149","120","-2","312","33","0"
"new brunswick","13","1.69","29","9","1.17","49","1,045","136","5","207","27","-2"
"quebec","83","0.99","-12","193","2.30","-17","10,531","126","0","3,233","39","-12"
"ontario","266","1.86","33","368","2.57","26","16,308","114","4","8,814","62","-7"
"manitoba","55","4.07","16","35","2.59","-16","5,441","402","1","2,663","197","11"
"saskatchewan","34","2.93","-11","34","2.93","-20","4,162","358","-7","984","85","-5"
"alberta","81","1.88","-33","50","1.16","-18","9,302","216","1","3,467","80","5"
"british columbia","89","1.78","-26","83","1.66","-29","7,564","152","3","2,470","49","-2"
"yukon","3","7.41","..","2","4.94","..","215","531","38","15","37","22"
"northwest territories","6","13.47","..","1","2.25","..","427","959","-6","37","83","24"
"nunavut","8","20.84","30","8","20.84","..","445","1,159","10","13","34","-15"
"canada","651","1.76","-4","807","2.18","-3","57,308","155","1","22,450","61","-3"
