"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"middlesbrough","1930-31","first division","6","1","0","0","6","1"
"middlesbrough","1931-32","first division","20","4","2","0","22","4"
"middlesbrough","total","total","26","5","2","0","28","5"
"brentford","1932-33","third division south","41","14","1","1","42","15"
"brentford","1933-34","second division","41","12","1","0","42","12"
"brentford","1934-35","second division","42","18","1","0","43","18"
"brentford","1935-36","first division","39","11","1","0","40","11"
"brentford","1936-37","first division","41","15","2","0","43","15"
"brentford","1937-38","first division","29","8","4","0","33","8"
"brentford","1938-39","first division","28","7","1","0","29","7"
"brentford","1945-46","first division","-","-","8","1","8","1"
"brentford","1946-47","first division","12","0","3","1","15","1"
"brentford","total","total","273","84","22","3","295","87"
"career total","career total","career total","299","89","24","3","323","92"
