"","college diploma","college diploma","college diploma","university bachelor's degree","university bachelor's degree","university bachelor's degree"
"","coefficient","standard error","percent effect","coefficient","standard error","percent effect"
"men and women combined","","","","","",""
"bottom income quintile","0.877","0.047","140.3","1.211","0.046","235.7"
"second income quintile","0.564","0.031","75.8","0.861","0.031","136.5"
"third income quintile","0.432","0.034","54.0","0.706","0.031","102.7"
"fourth income quintile","0.312","0.037","36.7","0.567","0.029","76.3"
"top income quintile","0.151","0.055","16.3","0.432","0.036","54.0"
"men","","","","","",""
"bottom income quintile","0.634","0.052","88.6","0.904","0.051","147.0"
"second income quintile","0.377","0.040","45.8","0.632","0.040","88.2"
"third income quintile","0.243","0.039","27.6","0.471","0.037","60.1"
"fourth income quintile","0.189","0.044","20.8","0.373","0.036","45.2"
"top income quintile","0.062","0.067","6.4","0.256","0.042","29.1"
"women","","","","","",""
"bottom income quintile","1.427","0.112","316.4","1.805","0.108","508.1"
"second income quintile","0.844","0.065","132.6","1.214","0.063","236.6"
"third income quintile","0.790","0.074","120.4","1.147","0.067","214.8"
"fourth income quintile","0.633","0.090","88.2","0.965","0.071","162.6"
"top income quintile","0.500","0.119","64.8","0.894","0.086","144.6"
