"no","pos","nat","player","total","total","second division","second division","challenge cup","challenge cup","league cup","league cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","england","tony bullock","30","0","24+0","0","1+0","0","2+0","0","3+0","0"
"none","gk","scotland","allan creer","4","0","4+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","scotland","matthew cartis","2","0","0+0","0","1+1","0","0+0","0","0+0","0"
"none","gk","scotland","joe malin","8","0","8+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","iain campbell","12","0","10+0","0","0+0","0","1+0","0","1+0","0"
"none","df","scotland","andy dowie","41","4","33+1","2","2+0","0","2+0","1","3+0","1"
"none","df","scotland","graham girvan","2","0","2+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","stuart golabek","33","2","26+0","2","2+0","0","2+0","0","3+0","0"
"none","df","scotland","alex keddie","35","4","27+1","3","2+0","1","2+0","0","3+0","0"
"none","df","scotland","mark mcculloch","36","1","30+0","1","2+0","0","2+0","0","2+0","0"
"none","df","scotland","gary miller","23","0","19+1","0","0+0","0","0+0","0","1+2","0"
"none","df","scotland","david niven","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","hugh robertson","4","0","0+4","0","0+0","0","0+0","0","0+0","0"
"none","df","trinidad and tobago","brent sancho","2","0","2+0","0","0+0","0","0+0","0","0+0","0"
"none","df","northern ireland","sean webb","1","0","0+0","0","0+0","0","0+1","0","0+0","0"
"none","mf","scotland","derek adams","15","2","11+0","2","2+0","0","2+0","0","0+0","0"
"none","mf","scotland","iain anderson","10","1","3+4","1","1+1","0","1+0","0","0+0","0"
"none","mf","scotland","darren brady","22","1","14+3","1","2+0","0","0+1","0","2+0","0"
"none","mf","scotland","paul lawson","28","2","24+0","2","1+0","0","0+0","0","2+1","0"
"none","mf","scotland","daniel moore","23","2","7+12","2","0+1","0","1+1","0","0+1","0"
"none","mf","scotland","martin scott","38","4","21+10","3","2+0","0","2+0","0","3+0","1"
"none","mf","scotland","adam strachan","20","1","10+8","1","0+0","0","0+0","0","1+1","0"
"none","fw","scotland","andrew barrowman","39","29","32+1","24","2+0","1","2+0","3","2+0","1"
"none","fw","scotland","scott boyd","25","2","21+2","1","0+0","0","0+0","0","2+0","1"
"none","fw","scotland","michael gardyne","16","4","9+7","4","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","ross grant","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","craig gunn","17","0","2+13","0","0+0","0","1+0","0","0+1","0"
"none","fw","scotland","sean higgins","41","11","23+11","10","0+2","0","1+1","0","2+1","1"
"none","fw","scotland","stewart petrie","29","8","15+9","8","2+0","0","1+0","0","0+2","0"
"none","fw","scotland","dene shields","30","9","17+8","6","0+1","0","0+1","0","3+0","3"
"none","fw","scotland","david winters","6","2","2+4","2","0+0","0","0+0","0","0+0","0"
