"characteristic","%","95% confidence interval","95% confidence interval","odds ratio","95% confidence interval","95% confidence interval"
"characteristic","%","from","to","odds ratio","from","to"
"sex","","","","","",""
"male","2.7","2.2","3.2","1.00","..",".."
"female","6.2","5.6","6.9","2.38","1.88","3.02"
"age group","","","","","",""
"12 to 17","1.7","0.9","2.5","0.60","0.30","1.20"
"18 to 34","8.2","7.1","9.3","3.09","2.28","4.19"
"35 to 44","5.2","3.9","6.5","1.91","1.25","2.92"
"45 or older","2.7","2.3","3.2","1.00","..",".."
"education","","","","","",""
"secondary diploma or equivalent or less","3.9","3.2","4.5","1.12","0.79","1.58"
"some postsecondary","5.9","5.1","6.7","1.69","1.22","2.34"
"university certificate, diploma or degree","3.6","2.8","4.4","1.00","..",".."
"not applicable/don't know/refusal/not stated","f","f","f","f","f","f"
"household income","","","","","",""
"$39,999 or less","3.3","2.5","4.0","..","..",".."
"$40,000 to $69,999","3.9","3.1","4.7","..","..",".."
"$70,000 to $99,999","4.9","3.8","6.0","..","..",".."
"$100,000 to $149,999","4.7","3.6","5.7","..","..",".."
"$150,000 or more","6.7","5.2","8.2","..","..",".."
"region","","","","","",""
"atlantic","4.8","3.7","5.9","1.42","0.93","2.17"
"quebec","4.5","3.6","5.5","1.33","0.88","2.00"
"ontario","3.5","2.8","4.1","1.00","..",".."
"west","5.7","4.8","6.5","1.67","1.15","2.42"
"race","","","","","",""
"caucasian","5.2","4.7","5.7","2.43","1.75","3.37"
"other","2.2","1.5","2.9","1.00","..",".."
"not applicable/don't know/refusal/not stated","3.4","1.5","5.3","..","..",".."
